file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,class,13,16,3,13,21,2,0,15,0,0.37499997,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,98,4,0,0,0,12,0,30,42,89,31,2,0,0,0,82,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,class,15,36,21,15,23,5,0,27,0,0.7538461,0.0,0.0,13,0,8,5,0,0,9,0,0,0,8,3,0,8,0,0,3,0,8,97,4,0,1,1,2,8,11,21,9,16,1,1,0,0,134,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,class,2,4,2,2,85,7,0,49,195,0.9144461,0.0,0.0,23,0,18,4,0,1,19,0,0,3,30,5,0,22,8,0,5,0,5,330,9,10,10,3,16,47,62,119,37,67,6,0,0,0,298,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Mapping3D.java,artofillusion.texture.Mapping3D,class,4,7,3,4,4,2,1,0,2,0.5,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,17,3,0,0,0,1,0,0,2,0,2,0,0,0,0,23,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\animation\JointEditorDialog.java,artofillusion.animation.JointEditorDialog$DOFPanel$Anonymous1,anonymous,2,2,0,2,5,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,3,0,0,2,0,2,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\animation\JointEditorDialog.java,artofillusion.animation.JointEditorDialog$DOFPanel$Anonymous2,anonymous,2,2,0,2,6,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,0,0,1,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\animation\JointEditorDialog.java,artofillusion.animation.JointEditorDialog$DOFPanel$Anonymous3,anonymous,2,2,0,2,6,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,0,0,1,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\procedural\ParameterModule.java,artofillusion.procedural.ParameterModule,class,14,24,10,14,23,2,0,13,6,0.6764706,0.0,0.0,17,0,17,0,0,0,17,0,0,0,3,0,0,0,0,3,0,0,9,97,10,0,1,0,0,11,3,31,0,13,1,0,0,0,74,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\script\ToolScript.java,artofillusion.script.ToolScript,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\object\SpotLight.java,artofillusion.object.SpotLight$Preview,innerclass,7,7,0,7,7,4,0,18,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,1,3,0,0,0,0,3,0,0,5,37,0,3,0,0,3,1,12,16,17,12,2,0,0,0,41,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextArea.java,nik777.chat.ChatTextArea$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
