file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,"setMesh/3[artofillusion.RenderingMesh,artofillusion.texture.TextureMapping,int]",false,45,4,2,0,2,1,3,5,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,"Linear2DTriangle/12[int,int,int,int,int,int,double,double,double,double,double,double]",true,27,0,1,1,0,1,0,9,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,"length/3[double,double,double]",false,163,0,3,3,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,"getDisplacement/5[double,double,double,double,double]",false,131,6,6,0,6,5,6,19,1,7,5,6,1,1,0,0,0,4,0,3,10,25,2,0,0,0,20,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,"getTextureSpec/7[artofillusion.texture.TextureSpec,double,double,double,double,double,double]",false,52,10,9,0,9,7,9,34,1,9,7,9,1,1,0,0,0,4,0,20,14,34,2,0,0,0,25,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\texture\Linear2DTriangle.java,artofillusion.texture.Linear2DTriangle,"getTransparency/7[artofillusion.math.RGBColor,double,double,double,double,double,double]",false,98,8,8,0,8,6,8,23,1,7,7,8,1,1,0,0,0,4,0,7,10,25,2,0,0,0,24,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,setMinimumValue/1[double],false,119,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,"ValueSelector/4[double,double,double,double]",true,67,11,23,15,8,1,6,21,0,0,4,6,0,0,0,0,0,0,5,0,6,0,0,1,0,0,46,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,setValue/1[double],false,104,2,5,3,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,mouseReleased/1[buoy.event.MouseReleasedEvent],false,168,4,3,0,3,2,4,4,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,getValue/0,false,95,1,11,10,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,getMaximumValue/0,false,126,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,mouseDragged/1[buoy.event.MouseDraggedEvent],false,152,4,4,0,4,5,7,11,1,2,1,7,1,1,0,0,0,2,0,2,5,3,1,0,0,0,15,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,setMaximumValue/1[double],false,133,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,dispatchValueChanged/1[buoy.event.WidgetEvent],false,179,4,6,2,4,2,3,4,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,getMinimumValue/0,false,112,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,paintDial/1[buoy.event.RepaintEvent],false,190,3,4,0,4,3,9,9,0,3,1,9,0,0,0,0,0,0,0,7,3,6,1,0,0,0,14,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,(initializer 1),false,41,1,9,0,9,2,2,10,0,1,0,2,0,0,0,0,1,0,3,2,4,0,1,0,0,0,25,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,setEnabled/1[boolean],false,138,2,4,2,2,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\ArtOfIllusion\src\artofillusion\ui\ValueSelector.java,artofillusion.ui.ValueSelector,mousePressed/1[buoy.event.MousePressedEvent],false,146,2,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,append/1[java.lang.String],false,217,1,2,1,1,1,1,3,0,0,1,1,1,3,0,0,0,0,3,0,0,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,getColor/1[java.lang.String],false,918,0,0,0,0,2,3,14,2,3,1,3,0,0,0,0,1,3,3,6,3,3,1,0,0,0,21,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,"chopWord/2[java.lang.String,int]",false,650,1,3,2,1,3,5,14,2,2,2,5,1,0,1,0,0,0,2,4,5,5,2,0,0,0,49,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,ChatTextPane/1[java.lang.String],true,135,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,"append/2[java.lang.String,java.lang.String]",false,228,1,5,4,1,1,1,3,0,0,2,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,22,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,render/0,false,672,2,3,1,2,10,15,32,0,4,0,15,1,1,2,3,1,3,14,4,8,0,3,0,0,0,49,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,ChatTextPane/0,true,126,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,"setNameColumnWidth/2[int,boolean]",false,493,0,0,0,0,6,0,17,0,1,2,0,0,0,0,0,0,1,0,6,7,3,2,0,0,0,13,33,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\aoi-2.8.1\aoi-2.8.1\HelpPlugin\src\ChatTextPane.java,nik777.chat.ChatTextPane,stateChanged/1[javax.swing.event.ChangeEvent],false,840,0,0,0,0,5,6,9,0,0,1,6,0,0,0,4,0,3,1,0,3,3,1,0,0,0,22,1,0,true
