file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,class,8,11,3,8,67,2,1,39,946,0.97727275,0.0,0.0,44,0,38,0,6,0,44,0,0,0,1,0,0,1,0,0,0,0,7,227,25,1,7,4,0,20,9,13,4,9,2,0,0,0,110,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,class,6,14,8,6,17,2,0,9,91,0.9285714,0.0,0.0,14,0,14,0,0,0,14,0,0,0,4,1,0,4,0,0,1,0,0,65,9,0,0,0,7,5,0,12,0,6,1,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\event\DatabaseModifiedEvent.java,org.axiondb.event.DatabaseModifiedEvent,class,1,6,5,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,23,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\engine\rowiterators\IndexJoinedRowIterator.java,org.axiondb.engine.rowiterators.IndexJoinedRowIterator,class,9,11,2,9,36,3,0,24,10,0.8,0.0,0.0,5,0,2,1,2,0,4,0,0,0,4,0,0,4,0,0,0,0,0,137,15,6,10,0,18,2,9,41,0,17,4,0,0,0,54,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\engine\AxionTypesMetaTableUpdater.java,org.axiondb.engine.AxionTypesMetaTableUpdater,class,11,13,2,11,4,2,0,15,1,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,0,2,0,0,0,0,1,38,1,0,0,1,0,2,20,5,0,4,1,0,0,0,43,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\functions\AggregateFunction.java,org.axiondb.functions.AggregateFunction,interface,2,7,5,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\engine\ArrayIndexFactory.java,org.axiondb.engine.ArrayIndexFactory,class,7,7,0,7,3,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,20,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\engine\DiskTable.java,org.axiondb.engine.DiskTable$Anonymous1,anonymous,5,5,0,5,24,1,0,9,0,0.6,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,0,0,5,0,0,0,99,9,2,7,0,2,5,12,20,1,7,3,0,0,0,43,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\engine\commands\CheckpointCommand.java,org.axiondb.engine.commands.CheckpointCommand,class,4,6,2,4,5,2,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,2,1,0,0,0,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\AxionException.java,org.axiondb.AxionException,class,0,58,58,0,8,3,2,1,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,3,0,2,2,0,2,1,1,0,0,0,0,31,1,0
