file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getMaxFieldSize/0,false,151,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setFetchSize/1[int],false,206,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,"execute/2[java.lang.String,int]",false,235,1,1,0,1,2,1,8,1,0,2,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,clearBatch/0,false,79,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,AxionStatement/1[org.axiondb.jdbc.AxionConnection],true,67,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,clearWarnings/0,false,83,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getResultSetType/0,false,172,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setEscapeProcessing/1[boolean],false,188,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,unwrap/1[java.lang.Class],false,319,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getResultSetHoldability/0,false,282,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,isPoolable/0,false,339,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getResultSetConcurrency/0,false,168,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,executeQuery/1[java.lang.String],false,123,6,14,0,14,4,14,17,1,1,1,14,0,0,0,0,1,0,0,0,1,0,1,0,0,0,21,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,isClosed/0,false,329,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,executeBatch/0,false,102,3,4,0,4,4,7,22,1,5,0,7,4,2,1,1,1,0,0,1,8,0,2,0,0,0,30,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getGeneratedKeys/0,false,229,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,"executeUpdate/2[java.lang.String,int]",false,254,1,1,0,1,2,1,8,1,0,2,1,1,2,0,1,0,0,1,0,0,0,1,0,0,0,17,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,isWrapperFor/1[java.lang.Class],false,324,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,execute/1[java.lang.String],false,86,4,10,1,9,3,9,17,1,2,1,9,0,0,0,0,1,0,0,0,3,0,1,0,0,0,21,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,"execute/2[java.lang.String,int[]]",false,244,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setQueryTimeout/1[int],false,221,0,0,0,0,3,0,8,0,0,1,0,0,0,0,1,0,0,3,2,0,1,1,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setCursorName/1[java.lang.String],false,184,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getMoreResults/0,false,155,1,2,1,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getMoreResults/1[int],false,273,1,1,0,1,3,1,8,1,0,1,1,1,1,0,2,0,0,2,0,0,1,1,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,addBatchCommand/1[org.axiondb.AxionCommand],false,286,1,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,executeUpdate/1[org.axiondb.AxionCommand],false,302,4,12,3,9,3,9,14,1,0,1,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,19,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,executeUpdate/1[java.lang.String],false,139,2,3,1,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getUpdateCount/0,false,176,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setMaxFieldSize/1[int],false,213,0,0,0,0,3,0,8,0,0,1,0,0,0,0,1,0,0,3,2,0,1,1,0,0,0,14,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getFetchSize/0,false,147,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,clearBatchCommands/0,false,290,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getWarnings/0,false,180,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getResultSet/0,false,164,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,cancel/0,false,75,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,"executeUpdate/2[java.lang.String,java.lang.String[]]",false,268,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setPoolable/1[boolean],false,334,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,"execute/2[java.lang.String,java.lang.String[]]",false,249,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,"executeUpdate/2[java.lang.String,int[]]",false,263,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getFetchDirection/0,false,143,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,addBatch/1[java.lang.String],false,71,2,2,0,2,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getBatchCommands/0,false,294,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getBatchCommandCount/0,false,298,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,setFetchDirection/1[int],false,194,0,0,0,0,4,0,10,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\jdbc\AxionStatement.java,org.axiondb.jdbc.AxionStatement,getQueryTimeout/0,false,160,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,isOr/0,false,104,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,toString/0,false,112,0,0,0,0,2,3,14,1,1,0,3,0,0,0,0,0,0,4,0,1,0,1,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,getName/0,false,72,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,getLeft/0,false,80,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,setLeft/1[org.axiondb.WhereNode],false,84,1,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,getRight/0,false,88,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,BinaryBranchWhereNode/0,true,55,0,6,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\axion-1.0-M2\axion-1.0-M2\src\org\axiondb\BinaryBranchWhereNode.java,org.axiondb.BinaryBranchWhereNode,getDataType/0,false,58,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
