file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\dba\hsqldb\HSQLSelectTranslator.java,org.apache.cayenne.dba.hsqldb.HSQLSelectTranslator,class,2,3,1,2,4,3,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,2,3,3,0,2,2,0,0,0,22,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\jdbc\EJBQLSelectTranslatorTest.java,org.apache.cayenne.access.jdbc.EJBQLSelectTranslatorTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\types\MockEnumHolder.java,org.apache.cayenne.access.types.MockEnumHolder,class,1,3,2,1,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\MockQueryEngine.java,org.apache.cayenne.access.MockQueryEngine,class,8,10,2,8,14,1,0,10,50,0.75,0.0,0.0,12,0,11,1,0,0,11,0,0,0,3,0,0,0,3,0,0,0,0,46,4,1,1,0,1,0,1,5,0,5,1,0,0,0,52,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\project\ApplicationProject.java,org.apache.cayenne.project.ApplicationProject,class,17,36,19,17,28,3,0,29,49,0.5,0.0,0.0,14,0,9,0,5,0,14,0,0,0,1,0,0,0,1,0,0,0,3,121,11,0,5,2,1,2,0,9,2,4,3,0,1,0,72,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\swing\BeanActionBinding.java,org.apache.cayenne.swing.BeanActionBinding$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\access\jdbc\SQLStatement.java,org.apache.cayenne.access.jdbc.SQLStatement,class,3,13,10,3,9,1,0,3,8,0.59259266,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,0,3,0,0,0,0,33,3,0,0,0,0,0,0,3,0,3,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\map\ClientObjRelationship.java,org.apache.cayenne.map.ClientObjRelationship,class,2,4,2,2,7,3,0,2,0,0.53333336,0.0,0.0,5,0,4,0,0,1,5,0,0,0,3,0,0,0,0,3,0,0,0,30,6,0,2,0,0,0,0,4,0,4,1,0,0,0,31,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\reflect\PersistentDescriptorResultMetadata.java,org.apache.cayenne.reflect.PersistentDescriptorResultMetadata,class,6,6,0,6,8,1,0,7,0,0.41666666,0.0,0.0,8,0,4,0,0,4,8,0,0,0,3,0,0,0,0,3,0,0,0,38,3,0,0,0,0,1,0,7,0,7,0,0,0,0,54,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\swing\BindingBase.java,org.apache.cayenne.swing.BindingBase,class,9,22,13,9,31,1,8,13,55,0.81632656,0.0,0.0,14,1,12,0,1,1,14,0,0,0,7,0,0,1,6,0,0,0,8,112,11,0,6,4,3,6,0,14,2,11,4,0,0,0,64,1025,0
