file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous28,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous29,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,class,9,11,2,9,36,3,0,7,16,0.72222215,0.0,0.0,21,0,18,0,3,0,21,0,0,0,9,0,0,9,0,0,0,0,4,175,15,12,0,0,0,3,39,82,43,51,3,0,0,0,156,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous24,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous25,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous26,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous27,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\colt\function\LongObjectProcedure.java,cern.colt.function.LongObjectProcedure,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\colt\matrix\linalg\Diagonal.java,cern.colt.matrix.linalg.Diagonal,class,3,4,1,3,3,1,0,4,1,0.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,1,1,3,4,1,3,1,0,0,0,39,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous20,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous21,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous22,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous23,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\colt\matrix\impl\SparseDoubleMatrix1D.java,cern.colt.matrix.impl.SparseDoubleMatrix1D,class,11,19,8,11,21,4,0,12,15,0.33333334,0.0,0.0,15,0,11,0,4,0,15,0,0,0,1,0,0,0,1,0,0,0,0,65,11,0,4,0,0,0,5,6,7,4,1,0,0,0,298,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\colt\list\AbstractFloatList.java,cern.colt.list.AbstractFloatList,class,10,13,3,10,96,3,1,38,0,0.20930232,0.0,0.0,43,0,38,0,5,0,43,3,0,0,1,0,0,0,1,0,0,0,19,279,33,16,13,0,7,8,84,62,64,57,3,0,0,0,431,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\colt\matrix\impl\DenseObjectMatrix2D.java,cern.colt.matrix.impl.DenseObjectMatrix2D,class,9,16,7,9,40,4,0,15,0,0.26666668,0.0,0.0,15,0,10,0,5,0,15,0,0,0,1,0,0,0,1,0,0,0,2,143,18,7,11,0,4,4,25,58,20,40,3,0,0,0,251,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\colt\matrix\impl\SelectedSparseObjectMatrix3D.java,cern.colt.matrix.impl.SelectedSparseObjectMatrix3D,class,8,10,2,8,19,4,0,15,0,0.45,0.0,0.0,16,0,6,0,10,0,16,0,0,0,5,0,0,0,5,0,0,0,0,116,14,0,3,0,0,0,8,50,24,39,1,0,0,0,262,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\Arithmetic.java,cern.jet.math.Arithmetic,class,4,25,21,4,45,2,0,7,108,0.875,0.0,0.0,16,15,12,3,1,0,13,0,0,0,4,4,0,1,3,0,4,0,16,135,28,5,7,0,15,3,283,50,47,41,3,0,0,0,171,1,0
