file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous28,"apply/2[int,int]",false,246,0,6,0,6,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\cern\jet\math\IntFunctions.java,cern.jet.math.IntFunctions$Anonymous29,apply/1[int],false,259,0,12,0,12,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,meanY/0,false,262,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,rmsX/0,false,290,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,rmsY/0,false,294,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,sumAllBinHeights/0,false,302,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,reset/0,false,270,0,0,0,0,4,0,16,0,3,0,0,0,0,3,0,0,0,0,18,15,0,3,0,0,0,14,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,allEntries/0,false,85,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,"Histogram3D/10[java.lang.String,int,double,double,int,double,double,int,double,double]",true,58,1,2,1,1,1,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,meanZ/0,false,266,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,"Histogram3D/4[java.lang.String,hep.aida.IAxis,hep.aida.IAxis,hep.aida.IAxis]",true,70,3,2,1,1,1,1,12,0,3,4,1,0,0,0,0,0,0,0,9,9,9,0,0,0,0,23,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,"internalSliceXZ/3[java.lang.String,int,int]",false,190,5,3,0,3,5,2,20,1,9,3,2,0,0,3,0,0,0,1,4,12,2,3,0,0,0,71,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,rmsZ/0,false,298,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,"Histogram3D/4[java.lang.String,double[],double[],double[]]",true,38,2,1,0,1,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,"binError/3[int,int,int]",false,93,1,3,0,3,1,4,3,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\colt-1.2.0\colt-1.2.0\src\hep\aida\ref\Histogram3D.java,hep.aida.ref.Histogram3D,"fill/3[double,double,double]",false,105,2,4,0,4,1,4,17,0,3,3,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,16,1,0,false
