file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\exception\SeverityEnum.java,org.displaytag.exception.SeverityEnum,class,2,19,17,2,1,2,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,6,6,5,1,0,0,6,0,0,11,0,0,0,0,0,5,1,6,0,6,0,0,0,0,30,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,class,12,16,4,12,33,1,3,35,85,0.8571428,0.0,0.0,14,0,3,1,10,0,13,4,0,0,5,1,0,5,0,0,0,0,2,113,7,3,8,0,1,0,1,30,0,28,3,0,0,0,112,1025,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\util\MultipleHtmlAttribute.java,org.displaytag.util.MultipleHtmlAttribute,class,3,9,6,3,13,1,0,14,0,0.0,0.0,0.0,6,0,4,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,3,48,4,2,1,1,0,0,1,6,0,6,2,0,0,0,61,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\jsptests\DataSourceMapTest.java,org.displaytag.jsptests.DataSourceMapTest,class,8,8,0,8,3,3,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0,0,10,21,3,1,3,1,0,0,0,42,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\exception\ObjectLookupException.java,org.displaytag.exception.ObjectLookupException,class,3,4,1,3,3,6,0,3,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,9,1,0,1,0,2,2,1,1,0,1,0,0,0,0,45,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\jsptests\Displ181Test.java,org.displaytag.jsptests.Displ181Test,class,7,7,0,7,4,3,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,9,3,0,3,1,0,0,0,52,1,2
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\properties\TitleKeyJstlFmtBundleTest.java,org.displaytag.properties.TitleKeyJstlFmtBundleTest,class,7,7,0,7,3,3,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,10,13,3,0,3,1,0,0,0,48,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag-examples\src\main\java\org\displaytag\sample\ReportableListObject.java,org.displaytag.sample.ReportableListObject,class,4,7,3,4,8,1,0,8,0,0.7083333,0.0,0.0,8,0,8,0,0,0,8,0,0,0,9,4,0,9,0,0,1,0,1,40,7,0,0,0,1,12,6,10,2,10,0,0,0,0,58,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\exception\MissingAttributeException.java,org.displaytag.exception.MissingAttributeException,class,4,5,1,4,3,6,0,3,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,4,14,2,0,0,0,0,1,1,2,0,2,0,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\DefaultPdfExportView.java,org.displaytag.export.DefaultPdfExportView,class,5,5,0,5,2,3,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0,0,1,0,0,0,0,0,0,1,0,47,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\pagination\SmartListHelper.java,org.displaytag.pagination.SmartListHelper,class,8,13,5,8,34,1,1,43,0,0.6346154,0.0,0.0,13,0,7,0,6,0,13,0,0,0,8,1,0,8,0,0,0,0,10,142,10,1,9,0,4,13,30,39,23,25,2,0,0,0,177,1,5
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\jsptests\I18nPropertiesTest.java,org.displaytag.jsptests.I18nPropertiesTest,class,6,6,0,6,8,3,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,25,1,0,2,0,0,17,4,6,6,4,1,0,0,0,71,1,2
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag-examples\src\main\java\org\displaytag\sample\decorators\HssfTotalWrapper.java,org.displaytag.sample.decorators.HssfTotalWrapper,class,7,8,1,7,8,4,0,8,7,0.625,0.0,0.0,6,0,1,3,2,0,3,0,0,0,4,0,0,4,0,0,0,0,0,39,1,0,1,0,0,3,2,7,1,5,1,0,0,0,54,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\decorator\TableDecoratorTwo.java,org.displaytag.decorator.TableDecoratorTwo,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag-examples\src\main\java\org\displaytag\sample\ListObject.java,org.displaytag.sample.ListObject,class,3,5,2,3,16,1,0,8,62,0.8333333,0.0,0.0,16,0,16,0,0,0,16,0,0,0,12,2,0,12,0,0,1,0,10,94,13,0,0,0,1,22,8,17,9,14,0,0,1,0,78,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\jsptests\ExportDecoratedTest.java,org.displaytag.jsptests.ExportDecoratedTest,class,10,10,0,10,3,3,0,14,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0,0,7,0,4,1,4,1,0,0,0,48,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\tags\SetPropertyTag.java,org.displaytag.tags.SetPropertyTag,class,3,4,1,3,9,3,1,6,0,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,1,0,4,0,0,1,0,2,39,3,0,3,0,0,4,2,10,0,6,3,0,0,0,93,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\util\DefaultRequestHelperFactory.java,org.displaytag.util.DefaultRequestHelperFactory,class,3,4,1,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\jsptests\Displ068Test.java,org.displaytag.jsptests.Displ068Test,class,7,7,0,7,4,3,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,11,15,3,0,3,1,0,0,0,47,1,2
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag-examples\src\main\java\org\displaytag\sample\ListObject.java,org.displaytag.sample.ListObject$SubListItem,innerclass,2,2,0,2,4,1,0,4,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,2,18,3,0,0,0,0,2,1,3,0,3,0,0,0,0,30,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\localization\I18nJstlAdapter.java,org.displaytag.localization.I18nJstlAdapter,class,7,10,3,7,17,1,0,14,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,2,1,1,0,0,1,0,5,58,2,0,12,1,2,4,0,20,3,12,3,0,0,0,115,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\PdfView.java,org.displaytag.export.PdfView,class,22,24,2,22,14,6,0,43,0,0.625,0.0,0.0,8,0,3,1,4,0,7,0,0,0,6,0,0,6,0,0,0,0,5,94,2,3,1,1,0,1,13,20,0,19,2,0,1,0,125,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\decorator\TableDecoratorOne.java,org.displaytag.decorator.TableDecoratorOne,class,1,2,1,1,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\properties\MediaTypeEnum.java,org.displaytag.properties.MediaTypeEnum,class,2,41,39,2,20,1,0,13,40,0.8791209,0.0,0.0,13,7,12,1,0,0,12,0,0,1,7,5,4,3,0,0,7,0,3,70,16,2,4,0,3,4,9,11,1,10,2,0,0,0,93,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\test\java\org\displaytag\jsptests\OffsetTest.java,org.displaytag.jsptests.OffsetTest,class,7,7,0,7,3,3,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,8,9,3,1,3,1,0,0,0,46,1,1
