file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\exception\SeverityEnum.java,org.displaytag.exception.SeverityEnum,SeverityEnum/1[java.lang.String],true,60,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getDocumentEnd/0,false,128,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getRowEnd/0,false,95,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,"setParameters/4[org.displaytag.model.TableModel,boolean,boolean,boolean]",false,74,1,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getDocumentStart/0,false,119,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,outputPage/0,false,306,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getAlwaysAppendCellEnd/0,false,132,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1028,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getCellEnd/0,false,108,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1028,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,doExport/1[java.io.Writer],false,217,8,23,0,23,10,25,40,0,14,1,25,11,2,2,1,0,0,0,0,14,0,3,0,0,0,41,1,1,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,doHeaders/0,false,156,4,11,1,10,10,15,33,1,9,0,15,6,1,1,6,0,1,0,1,11,0,2,0,0,0,38,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,"write/2[java.io.Writer,java.lang.String]",false,295,0,1,1,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getCellStart/0,false,104,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,escapeColumnValue/1[java.lang.Object],false,144,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1028,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getRowStart/0,false,86,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\export\BaseExportView.java,org.displaytag.export.BaseExportView,getAlwaysAppendRowEnd/0,false,138,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1028,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\util\MultipleHtmlAttribute.java,org.displaytag.util.MultipleHtmlAttribute,clone/0,false,123,2,2,0,2,2,4,11,1,1,0,4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,11,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\util\MultipleHtmlAttribute.java,org.displaytag.util.MultipleHtmlAttribute,toString/0,false,77,0,0,0,0,3,6,11,1,2,0,6,0,0,1,0,0,0,0,0,2,0,2,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\displaytag-1.2\displaytag-1.2\displaytag\src\main\java\org\displaytag\util\MultipleHtmlAttribute.java,org.displaytag.util.MultipleHtmlAttribute,addAttributeValue/1[java.lang.String],false,101,1,4,3,1,2,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,true
