file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\com\anotherbigidea\flash\interfaces\SWFShape.java,com.anotherbigidea.flash.interfaces.SWFShape,interface,4,14,10,4,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\com\anotherbigidea\util\Hex.java,com.anotherbigidea.util.Hex,class,2,4,2,2,18,1,0,13,21,0.0,0.0,0.0,7,7,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,12,71,6,3,2,0,2,13,15,25,13,14,4,0,0,0,56,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\com\anotherbigidea\flash\sound\ADPCMHelper.java,com.anotherbigidea.flash.sound.ADPCMHelper,class,18,19,1,18,34,2,0,37,4,0.7386364,0.0,0.0,8,2,8,0,0,0,8,0,0,0,11,0,0,0,11,0,0,0,1,181,7,5,9,0,0,0,48,62,5,39,3,0,2,0,103,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\com\incors\plaf\kunststoff\KunststoffMenuBarUI.java,com.incors.plaf.kunststoff.KunststoffMenuBarUI,class,3,4,1,3,4,4,0,7,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,20,1,0,2,0,0,0,8,6,3,6,1,0,0,0,21,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\at\bestsolution\drawswf\drawobjects\StraightLine.java,at.bestsolution.drawswf.drawobjects.StraightLine,class,8,9,1,8,26,1,0,36,0,0.79347825,0.0,0.0,23,0,21,0,2,0,23,0,0,0,4,1,0,4,0,0,0,0,9,120,10,1,1,0,2,12,12,17,13,13,1,0,0,0,90,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\at\bestsolution\util\BestsolutionConfigurationEditorFactory.java,at.bestsolution.util.BestsolutionConfigurationEditorFactory,class,2,3,1,2,2,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,3,0,2,1,0,0,0,11,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\at\bestsolution\drawswf\menu\DrawFileMenu.java,at.bestsolution.drawswf.menu.DrawFileMenu,class,10,12,2,10,10,7,0,18,34,0.7777778,0.0,0.0,9,0,3,6,0,0,3,0,0,0,1,0,0,1,0,0,0,0,12,53,0,0,0,0,0,34,8,8,0,8,1,0,0,0,46,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\com\anotherbigidea\flash\structs\ButtonRecord2.java,com.anotherbigidea.flash.structs.ButtonRecord2,class,6,11,5,6,9,2,0,5,0,0.25,0.0,0.0,8,2,6,0,2,0,8,0,0,0,1,0,0,0,1,0,0,0,0,34,3,1,1,0,1,1,2,6,1,3,1,0,0,0,32,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\org\apache\batik\ext\awt\image\SVGComposite.java,org.apache.batik.ext.awt.image.SVGComposite$LightenCompositeContext,innerclass,2,2,0,2,7,2,0,6,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2,0,0,17,0,21,28,38,15,3,0,0,0,28,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\drawswf-1.2.9\drawswf-1.2.9\at\bestsolution\drawswf\dialog\FontDialog.java,at.bestsolution.drawswf.dialog.FontDialog,class,8,13,5,8,25,6,0,63,71,0.8055556,0.0,0.0,18,0,11,5,2,0,13,0,0,0,12,1,0,5,7,0,0,0,13,209,9,1,3,0,4,33,42,48,9,36,2,4,0,0,127,1,0
