file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,class,3,4,1,3,31,3,0,8,0,0.11538462,0.0,0.0,13,0,7,0,0,6,13,0,0,0,1,0,1,0,0,0,0,0,0,99,19,5,6,0,8,1,31,24,22,18,2,0,0,0,33,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\Page.java,eg.Page$Row,innerclass,1,1,0,1,4,1,0,2,0,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,15,3,0,0,0,0,0,3,1,0,1,0,0,0,0,7,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\AllPairs.java,eg.AllPairs$Pairs,innerclass,3,3,0,3,5,4,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,1,0,0,0,13,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\eg\AllPairs.java,Var,innerclass,3,5,2,3,3,1,0,2,0,0.44444445,0.0,0.0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,15,2,0,0,0,0,0,0,3,0,3,0,0,0,0,9,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\Fixture.java,fit.Fixture$RunTime,innerclass,1,1,0,1,3,1,0,3,0,0.25,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,3,18,3,0,0,0,1,4,12,5,5,3,1,0,0,0,9,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\music\MusicLibrary.java,eg.music.MusicLibrary,class,3,7,4,3,22,1,0,10,0,0.5909091,0.0,0.0,11,11,0,0,0,11,11,0,0,0,2,2,0,0,0,2,0,0,8,70,2,8,2,0,1,3,16,26,0,14,2,0,0,0,35,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\TypeAdapter.java,fit.TypeAdapter$ClassFloatAdapter,innerclass,1,1,0,1,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\spec\fat\TableParseFixture.java,TableParseFixture,class,3,3,0,3,7,1,0,4,21,0.85714287,0.0,0.0,7,0,4,3,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,26,7,0,0,0,0,0,4,0,2,3,0,0,0,0,16,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\eg\AllPairs.java,Item,innerclass,3,10,7,3,6,1,0,3,0,0.41666666,0.0,0.0,4,0,1,0,0,3,4,0,0,0,3,0,0,0,0,3,0,0,0,19,3,0,2,0,0,0,0,3,0,3,0,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\spec\fat\DocumentParseFixture.java,DocumentParseFixture,class,5,5,0,5,9,1,0,6,13,0.8333334,0.0,0.0,6,0,2,4,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,48,6,3,3,0,0,11,0,19,1,9,1,0,0,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\Calculator.java,eg.Calculator$HP35,innerclass,1,1,0,1,29,1,0,16,0,0.5,0.0,0.0,5,0,1,0,0,4,5,0,0,0,2,0,0,0,0,2,0,0,13,89,2,2,1,0,3,19,33,21,8,8,1,0,0,0,12,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\net\GeoCoordinate.java,eg.net.GeoCoordinate,class,1,3,2,1,20,1,0,12,0,0.13333334,0.0,0.0,5,1,5,0,0,0,5,0,0,0,3,1,0,0,0,3,0,0,4,46,5,1,5,0,14,6,26,18,16,14,2,0,0,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\music\Dialog.java,eg.music.Dialog,class,2,3,1,2,4,2,0,2,0,0.16666667,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,0,0,2,0,0,1,17,1,0,0,0,0,1,0,3,0,2,1,0,0,0,5,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\spec\fat\ReferenceFixture.java,ReferenceFixture,class,5,5,0,5,5,1,0,5,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,33,3,0,2,2,2,8,2,7,4,9,2,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\spec\fat\FixtureLoadFixture.java,FixtureLoadFixture,class,3,3,0,3,4,1,0,2,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,20,3,0,0,1,0,2,0,1,0,2,1,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\TypeAdapter.java,fit.TypeAdapter$ClassIntegerAdapter,innerclass,1,1,0,1,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\TypeAdapter.java,fit.TypeAdapter$ClassBooleanAdapter,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\ColumnIndex.java,eg.ColumnIndex,class,4,5,1,4,22,4,0,19,8,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,1,0,0,0,0,1,0,0,2,87,12,5,5,0,0,8,7,14,0,12,3,0,1,0,36,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\AllPairs.java,eg.AllPairs$Cases,innerclass,5,5,0,5,4,4,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,1,0,1,0,3,2,1,2,1,0,1,0,13,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fat\FatTest.java,fat.FatTest,class,6,6,0,6,7,3,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,35,0,0,3,0,0,14,3,10,0,10,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\TypeAdapter.java,fit.TypeAdapter$ByteAdapter,innerclass,1,1,0,1,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\TypeAdapter.java,fit.TypeAdapter$ShortAdapter,innerclass,1,1,0,1,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\eg\AllPairs.java,Pairs,innerclass,5,5,0,5,5,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,1,0,0,0,13,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\eg\ExampleTests.java,ExampleTests,class,7,7,0,7,10,1,0,12,0,0.75,0.0,0.0,8,0,6,0,2,0,8,0,0,0,8,0,2,0,5,1,0,0,0,55,5,0,1,0,1,9,0,10,1,10,1,0,0,0,31,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\source\imp\java\src\fit\TypeAdapter.java,fit.TypeAdapter$ClassByteAdapter,innerclass,1,1,0,1,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
