file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,mon/0,false,25,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,fri/0,false,29,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,"chopMonday/2[int,int[]]",false,33,1,1,1,0,4,0,17,2,3,2,0,0,0,1,1,0,1,0,6,5,5,2,0,0,0,6,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,tue/0,false,26,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,wed/0,false,27,1,1,0,1,1,1,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,"chopFriday/2[int,int[]]",false,97,1,2,2,0,3,0,6,2,1,2,0,0,0,1,1,0,0,0,2,1,0,2,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,"chopWednesday/2[int,int[]]",false,70,2,4,2,2,5,2,8,4,2,2,2,2,1,0,2,0,1,0,8,2,5,1,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,"chopTuesday/2[int,int[]]",false,49,1,1,1,0,5,1,20,2,3,2,1,0,0,1,0,0,4,1,9,5,5,2,0,0,0,10,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,result/0,false,21,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\fitjava-1.1\fitjava-1.1\examples\eg\BinaryChop.java,eg.BinaryChop,"chopThursday/2[int,int[]]",false,79,1,1,1,0,4,1,18,2,4,2,1,0,0,1,1,0,2,0,5,6,6,2,0,0,0,8,0,0,false
