file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,class,8,9,1,8,19,2,0,18,19,0.8095238,0.0,0.0,7,1,5,2,0,0,5,0,0,0,3,1,0,3,0,0,3,0,3,61,9,0,4,0,0,6,6,12,0,8,3,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\logger\LogFile.java,freecs.util.logger.LogFile,class,4,6,2,4,22,2,0,24,0,0.61904764,0.0,0.0,7,1,3,3,0,1,4,0,0,0,6,1,0,1,0,5,1,0,6,166,6,0,7,1,2,10,8,20,6,15,2,0,1,0,56,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\core\CleanupClass.java,freecs.core.CleanupClass,class,5,6,1,5,9,2,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,48,1,2,0,3,0,14,2,4,1,4,3,0,0,0,29,1,2
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\external\AdminCore.java,freecs.external.AdminCore,class,6,8,2,6,10,1,0,10,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0,5,0,0,4,0,8,0,8,1,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\auth\SQLAuthenticator.java,freecs.auth.SQLAuthenticator,class,9,11,2,9,17,2,0,16,0,0.64285713,0.0,0.0,7,0,6,1,0,0,6,0,0,0,4,1,1,0,0,3,0,0,2,73,4,0,3,3,0,16,0,18,0,15,1,0,0,0,62,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAddFriend.java,freecs.commands.CmdAddFriend,class,7,8,1,7,11,2,0,12,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,1,51,6,1,1,0,0,8,1,17,0,5,2,0,0,0,26,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\content\Connection.java,freecs.content.Connection,class,2,13,11,2,53,1,0,14,0,0.5714286,0.0,0.0,9,0,9,0,0,0,9,0,0,0,7,0,6,1,0,0,0,0,5,98,24,0,27,1,4,9,14,24,3,10,4,0,0,0,46,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\content\ActionstoreObject.java,freecs.content.ActionstoreObject,class,3,5,2,3,12,1,0,1,0,0.575,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,6,0,0,0,0,0,1,42,3,0,7,0,0,7,2,22,0,11,1,0,0,0,24,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdShowUserDetail.java,freecs.commands.CmdShowUserDetail,class,5,6,1,5,9,2,0,5,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,0,37,7,0,1,0,0,4,1,8,0,3,2,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\MessageTemplateFinder.java,freecs.util.MessageTemplateFinder,class,2,3,1,2,24,1,0,31,0,0.25,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,5,90,0,6,5,2,3,23,20,25,3,21,3,0,0,0,53,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\content\HTTPRequest.java,freecs.content.HTTPRequest,class,8,11,3,8,85,1,0,41,132,0.876923,0.0,0.0,20,0,19,1,0,0,19,0,0,0,8,0,0,8,0,0,2,0,23,289,19,8,8,5,2,76,59,90,15,63,7,0,0,0,149,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\external\IRequestHandler.java,freecs.external.IRequestHandler,interface,2,9,7,2,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\core\Listener.java,freecs.core.Listener,class,5,7,2,5,47,2,0,64,10,0.6296297,0.0,0.0,9,2,5,4,0,0,5,0,0,0,3,1,0,3,0,0,1,0,21,172,7,9,11,10,0,24,6,28,3,24,4,0,0,0,84,1,8
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\core\User.java,freecs.core.User,class,21,112,91,21,380,1,0,131,9518,0.9754678,0.0,0.0,145,0,142,3,0,0,142,0,0,12,38,9,8,30,0,0,9,0,44,1049,167,10,80,3,43,110,78,245,68,149,4,1,0,0,489,1,3
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdShout.java,freecs.commands.CmdShout,class,6,7,1,6,9,2,0,7,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,1,33,7,0,0,0,0,4,1,6,0,3,1,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdListVips.java,freecs.commands.CmdListVips,class,6,7,1,6,16,2,0,12,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,0,60,7,2,4,0,0,8,4,17,0,8,3,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdQuestion.java,freecs.commands.CmdQuestion,class,6,7,1,6,9,2,0,8,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,0,37,7,0,0,0,0,4,1,7,0,3,2,0,0,0,26,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\interfaces\ICommand.java,freecs.interfaces.ICommand,interface,1,58,57,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\content\PrivateMessageStore.java,freecs.content.PrivateMessageStore,class,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\external\UserlistManager.java,freecs.external.UserlistManager,class,10,12,2,10,69,1,0,47,21,0.85714287,NaN,NaN,7,0,1,6,0,0,1,0,0,0,3,1,1,2,0,0,1,0,10,273,1,8,18,4,0,66,8,43,1,31,6,0,0,0,64,1,4
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\external\UserlistRequestHandler.java,freecs.external.UserlistRequestHandler,class,6,8,2,6,10,2,0,8,21,0.85714287,0.0,0.0,7,1,7,0,0,0,7,0,0,0,3,2,0,3,0,0,3,0,0,33,5,0,2,0,2,10,0,9,0,7,1,0,0,0,39,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdPunish.java,freecs.commands.CmdPunish,class,9,10,1,9,43,2,0,32,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,2,141,12,1,9,1,1,20,16,46,4,15,5,0,0,0,49,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\logger\LogFile.java,freecs.util.logger.LogFile$LogFileShrinker,innerclass,2,2,0,2,15,2,0,14,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,5,79,2,2,3,7,1,18,2,22,8,13,4,0,0,0,48,8,3
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\auth\IAuthenticator.java,freecs.auth.IAuthenticator,interface,2,4,2,2,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\auth\NoAuthentication.java,freecs.auth.NoAuthentication,class,4,6,2,4,7,2,0,1,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,0,0,0,21,3,0,1,0,1,0,0,4,0,2,1,0,0,0,21,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\auth\sqlConnectionPool\SqlRunner.java,freecs.auth.sqlConnectionPool.SqlRunner,class,9,11,2,9,29,1,0,16,0,0.4027778,0.0,0.0,8,0,8,0,0,0,8,0,0,0,7,0,2,5,0,0,5,0,6,137,3,3,5,4,0,8,15,55,3,26,3,0,0,0,45,1,3
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdListAllFriends.java,freecs.commands.CmdListAllFriends,class,6,7,1,6,9,2,0,8,15,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,1,48,6,1,1,0,0,8,1,17,0,5,2,0,0,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\core\CentralSelector.java,freecs.core.CentralSelector$KeepAliveTimeoutChecker,innerclass,3,3,0,3,12,1,0,14,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,13,51,1,2,0,1,1,17,5,13,7,10,4,0,0,0,34,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\core\UserManager.java,freecs.core.UserManager$UserStore$UserStoreIterator,innerclass,2,2,0,2,5,1,0,7,0,0.33333334,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,0,0,0,24,2,0,1,0,0,0,0,4,0,3,2,0,0,0,16,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\ObjectBuffer.java,freecs.util.ObjectBuffer,class,2,10,8,2,35,1,0,10,0,0.5230769,0.0,0.0,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,5,97,14,2,7,0,1,5,17,23,3,9,2,0,0,0,72,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\core\GroupManager.java,freecs.core.GroupManager,class,8,30,22,8,152,1,0,98,126,0.8681818,0.0,0.0,20,0,16,4,0,0,16,0,0,4,9,2,3,6,0,0,2,0,12,409,36,14,24,5,3,80,26,100,5,81,8,0,0,0,158,1,3
