file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,instanceForSystem/0,false,46,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,getInstance/0,false,42,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,checkVersion/0,false,61,2,3,1,2,2,4,9,2,2,0,4,0,0,0,0,0,0,1,3,2,0,1,0,0,0,8,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,CmdAway/0,true,40,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,getCmd/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,"execute/2[freecs.content.MessageState,java.lang.String]",false,71,5,12,0,12,12,13,33,3,3,2,13,0,0,0,4,0,0,3,3,7,0,3,0,0,0,22,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\commands\CmdAway.java,freecs.commands.CmdAway,getVersion/0,false,57,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\logger\LogFile.java,freecs.util.logger.LogFile,getChannel/0,false,55,1,2,0,2,3,5,11,3,0,0,5,2,2,0,2,0,0,0,0,2,0,1,0,0,0,16,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\logger\LogFile.java,freecs.util.logger.LogFile,createNewLogFile/0,false,82,1,2,1,1,3,7,13,1,1,0,7,1,1,0,1,0,0,0,0,5,0,2,0,0,0,19,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\freecs-1.3.20100406\freecs-1.3.20100406\src\freecs\util\logger\LogFile.java,freecs.util.logger.LogFile,LogFile/1[java.lang.String],true,51,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
