file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\matchers\FileRegexMatcher.java,org.apache.james.transport.matchers.FileRegexMatcher,class,1,1,0,1,6,3,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,1,1,0,4,8,7,1,4,2,0,0,0,33,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\proposals\imap2\java\org\apache\james\imapserver\commands\FetchCommand.java,org.apache.james.imapserver.commands.FetchCommand$FetchElement,innerclass,1,1,0,1,2,1,0,0,0,0.90909094,0.0,0.0,2,0,1,0,1,0,2,0,0,0,11,10,10,0,0,1,10,0,0,19,1,0,0,0,0,10,0,11,0,11,0,0,0,0,27,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\matchers\CommandForListserv.java,org.apache.james.transport.matchers.CommandForListserv,class,2,2,0,2,5,2,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,2,0,0,0,0,2,0,1,2,1,2,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\mailets\UseHeaderRecipients.java,org.apache.james.transport.mailets.UseHeaderRecipients,class,4,5,1,4,12,2,0,21,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,49,2,2,2,0,1,12,2,11,2,10,4,0,0,0,125,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,class,16,17,1,16,38,2,0,33,60,0.8470588,0.0,0.0,17,0,17,0,0,0,17,0,0,3,5,2,0,4,1,0,1,0,0,159,19,3,1,7,0,22,2,19,7,18,2,0,0,0,123,1,3
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\proposals\imap2\test\org\apache\james\test\ProtocolSession.java,org.apache.james.test.ProtocolSession,class,5,6,1,5,13,4,0,5,0,0.5,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,1,1,0,1,0,0,123,0,3,0,0,0,0,0,9,0,9,2,0,5,0,114,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\proposals\rmi-remotemanager\java\org\apache\james\services\UsersStore.java,org.apache.james.services.UsersStore,interface,2,24,22,2,2,1,0,1,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\remotemanager\RemoteManagerHandler.java,org.apache.james.remotemanager.RemoteManagerHandler$RemoteManagerWatchdogTarget,innerclass,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\fetchmail\FolderProcessor.java,org.apache.james.fetchmail.FolderProcessor,class,5,7,2,5,31,2,0,39,87,0.85714287,0.0,0.0,14,0,1,1,12,0,13,0,0,0,2,0,0,2,0,0,0,0,0,114,8,2,3,5,2,8,4,18,1,13,5,0,0,0,121,1,5
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\proposals\imap2\test\org\apache\james\imapserver\TestOtherCommandsInSelectedState.java,org.apache.james.imapserver.TestOtherCommandsInSelectedState,class,5,6,1,5,3,6,0,3,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,15,0,1,0,1,0,0,0,0,66,1,0
