file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\matchers\FileRegexMatcher.java,org.apache.james.transport.matchers.FileRegexMatcher,init/0,false,29,1,1,0,1,6,7,24,0,4,0,7,0,0,2,1,1,0,4,8,7,1,2,0,0,0,23,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\proposals\imap2\java\org\apache\james\imapserver\commands\FetchCommand.java,org.apache.james.imapserver.commands.FetchCommand$FetchElement,FetchElement/1[java.lang.String],true,471,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\proposals\imap2\java\org\apache\james\imapserver\commands\FetchCommand.java,org.apache.james.imapserver.commands.FetchCommand$FetchElement,getResponseName/0,false,475,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\matchers\CommandForListserv.java,org.apache.james.transport.matchers.CommandForListserv,init/0,false,35,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\matchers\CommandForListserv.java,org.apache.james.transport.matchers.CommandForListserv,matchRecipient/1[org.apache.mailet.MailAddress],false,39,1,2,0,2,4,3,8,2,0,1,3,0,0,0,0,0,0,2,0,0,2,2,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\mailets\UseHeaderRecipients.java,org.apache.james.transport.mailets.UseHeaderRecipients,init/0,false,65,0,0,0,0,2,2,3,0,0,0,2,0,0,0,1,0,1,2,0,1,0,0,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\mailets\UseHeaderRecipients.java,org.apache.james.transport.mailets.UseHeaderRecipients,getMailetInfo/0,false,107,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\mailets\UseHeaderRecipients.java,org.apache.james.transport.mailets.UseHeaderRecipients,"getHeaderMailAddresses/2[javax.mail.internet.MimeMessage,java.lang.String]",false,119,1,2,1,1,6,8,24,1,7,2,8,0,0,2,1,0,0,4,2,7,1,4,0,0,0,43,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\transport\mailets\UseHeaderRecipients.java,org.apache.james.transport.mailets.UseHeaderRecipients,service/1[org.apache.mailet.Mail],false,76,2,5,0,5,3,12,16,0,2,1,12,1,1,0,0,0,0,5,0,2,1,1,0,0,0,38,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,countUsers/0,false,264,1,1,0,1,2,3,7,1,2,0,3,1,1,1,0,0,0,0,1,2,0,1,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,configure/1[org.apache.avalon.framework.configuration.Configuration],false,91,1,2,0,2,2,3,6,0,0,1,3,0,0,0,0,0,0,2,0,2,0,1,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,"addUser/2[java.lang.String,java.lang.Object]",false,163,3,3,0,3,2,2,10,0,1,2,2,1,2,0,0,0,0,3,0,1,1,1,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,getUserByNameCaseInsensitive/1[java.lang.String],false,188,2,2,0,2,2,2,7,2,1,1,2,2,3,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,removeUser/1[java.lang.String],false,224,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,"test/2[java.lang.String,java.lang.Object]",false,242,1,1,0,1,2,2,8,2,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\james-2.2.0\james-2.2.0\src\java\org\apache\james\userrepository\UsersFileRepository.java,org.apache.james.userrepository.UsersFileRepository,initialize/0,false,104,5,8,0,8,4,12,19,0,2,0,12,0,0,0,0,1,0,9,1,3,1,2,0,0,0,18,1,2,true
