file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,class,17,26,9,17,25,5,0,24,116,0.9411765,0.0,0.0,17,0,15,2,0,0,15,0,0,0,13,7,7,6,0,0,7,0,10,81,13,2,2,0,0,6,3,20,0,17,2,0,1,0,114,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\model\InfModel.java,com.hp.hpl.jena.rdf.model.InfModel,interface,9,17,8,9,10,1,0,0,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\listeners\NullListener.java,com.hp.hpl.jena.rdf.listeners.NullListener,class,4,4,0,4,11,1,0,0,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\reasoner\rulesys\RDFSRuleInfGraph.java,com.hp.hpl.jena.reasoner.rulesys.RDFSRuleInfGraph,class,6,7,1,6,3,5,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,64,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\ontology\ObjectProperty.java,com.hp.hpl.jena.ontology.ObjectProperty,interface,1,18,17,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\listeners\StatementListener.java,com.hp.hpl.jena.rdf.listeners.StatementListener,class,5,8,3,5,17,1,2,9,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,8,8,0,4,1,0,0,0,38,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\shared\BadBooleanException.java,com.hp.hpl.jena.shared.BadBooleanException,class,1,3,2,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\reasoner\rulesys\impl\LPTopGoalIterator.java,com.hp.hpl.jena.reasoner.rulesys.impl.LPTopGoalIterator,class,8,10,2,8,28,1,0,20,14,0.712963,0.0,0.0,12,0,9,3,0,0,9,0,0,2,9,0,0,0,5,4,0,0,0,116,4,1,9,0,1,2,0,30,0,14,4,0,0,0,176,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\assembler\exceptions\CannotConstructException.java,com.hp.hpl.jena.assembler.exceptions.CannotConstructException,class,4,6,2,4,8,6,0,11,9,0.61904764,0.0,0.0,7,4,3,4,0,0,3,0,0,0,3,1,0,1,2,0,3,0,7,29,6,0,0,0,0,3,2,4,2,4,0,0,0,0,49,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\reasoner\rulesys\GenericRuleReasonerFactory.java,com.hp.hpl.jena.reasoner.rulesys.GenericRuleReasonerFactory,class,7,11,4,7,5,1,0,4,6,0.75,0.0,0.0,4,1,4,0,0,0,4,0,0,0,3,2,1,1,1,0,1,0,1,22,4,0,1,0,0,4,0,4,0,4,1,0,0,0,85,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\Capabilities.java,com.hp.hpl.jena.graph.Capabilities,interface,0,22,22,0,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0
