file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,getPattern/0,false,119,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,Query/1[com.hp.hpl.jena.graph.Graph],true,66,2,2,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,getSorter/0,false,175,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,"executeBindings/3[com.hp.hpl.jena.graph.Graph,java.util.List<com.hp.hpl.jena.graph.query.Stage>,com.hp.hpl.jena.graph.Node[]]",false,150,7,3,0,3,1,3,3,1,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,"executeBindings/3[java.util.List<com.hp.hpl.jena.graph.query.Stage>,com.hp.hpl.jena.graph.query.NamedGraphMap,com.hp.hpl.jena.graph.Node[]]",false,159,6,4,2,2,1,1,6,1,2,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,getVariableCount/0,false,183,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,args/0,false,172,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,"executeBindings/2[com.hp.hpl.jena.graph.Graph,com.hp.hpl.jena.graph.Node[]]",false,147,6,4,1,3,1,3,3,1,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,addMatches/1[com.hp.hpl.jena.graph.Graph],false,141,5,3,1,2,2,4,4,0,1,1,4,1,1,1,0,0,0,0,0,1,0,1,0,0,0,16,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,"executeBindings/2[com.hp.hpl.jena.graph.query.NamedGraphMap,com.hp.hpl.jena.graph.Node[]]",false,153,6,2,1,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,"addMatch/3[com.hp.hpl.jena.graph.Node,com.hp.hpl.jena.graph.Node,com.hp.hpl.jena.graph.Node]",false,83,2,4,3,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,getConstraints/0,false,124,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,setTripleSorter/1[com.hp.hpl.jena.graph.query.TripleSorter],false,178,1,0,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,"addNamedMatch/4[java.lang.String,com.hp.hpl.jena.graph.Node,com.hp.hpl.jena.graph.Node,com.hp.hpl.jena.graph.Node]",false,99,4,3,1,2,1,3,5,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,Query/0,true,58,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,addConstraint/1[com.hp.hpl.jena.graph.query.Expression],false,127,4,8,1,7,7,8,6,1,1,1,8,1,0,1,1,0,0,0,3,2,0,2,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Query.java,com.hp.hpl.jena.graph.query.Query,addMatch/1[com.hp.hpl.jena.graph.Triple],false,92,3,2,1,1,1,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\model\InfModel.java,com.hp.hpl.jena.rdf.model.InfModel,prepare/0,false,61,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\model\InfModel.java,com.hp.hpl.jena.rdf.model.InfModel,getReasoner/0,false,47,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\model\InfModel.java,com.hp.hpl.jena.rdf.model.InfModel,getDeductionsModel/0,false,126,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\model\InfModel.java,com.hp.hpl.jena.rdf.model.InfModel,reset/0,false,71,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,true
