file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,class,2,24,22,2,8,5,20,5,20,0.7083333,0.0,0.0,8,0,6,0,2,0,8,0,0,0,3,0,0,1,2,0,0,0,1,52,3,0,0,0,0,0,13,22,0,6,0,0,0,0,73,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\gjt\sp\jedit\syntax\CobolTokenMarker.java,org.gjt.sp.jedit.syntax.CobolTokenMarker,class,5,6,1,5,23,2,0,6,2,0.5625,0.0,0.0,4,1,3,1,0,0,3,0,0,0,4,1,0,4,0,0,0,0,3,742,3,1,7,0,1,641,4,36,14,13,4,0,0,0,46,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\scripting\dawn\Run.java,org.jext.scripting.dawn.Run$ThreadExecuter,innerclass,4,4,0,4,6,2,0,14,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,6,28,0,0,0,1,0,5,1,4,0,4,3,0,0,0,18,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,class,5,7,2,5,37,11,0,31,126,0.78749996,0.0,0.0,20,0,15,3,2,0,17,0,0,0,4,0,0,4,0,0,0,0,7,195,13,0,10,0,0,12,12,17,0,12,1,0,3,0,185,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\plugins\FindInFiles\src\FindInFilesHelper.java,FindInFilesHelper,class,7,9,2,7,31,1,0,36,36,0.8888889,0.0,0.0,9,9,2,7,0,0,2,0,2,0,2,2,0,2,0,0,1,0,18,85,7,7,5,0,5,17,12,36,3,25,3,0,0,0,65,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame$RaisedHeaderBorder,innerclass,0,0,0,0,2,2,0,4,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,15,1,0,0,0,0,2,14,1,2,1,0,0,0,0,17,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\gjt\sp\jedit\textarea\InputHandler.java,org.gjt.sp.jedit.textarea.InputHandler$document_end,innerclass,2,2,0,2,3,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,2,0,2,1,0,0,0,15,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\console\ConsoleTextPane.java,org.jext.console.ConsoleTextPane$DnDHandler,innerclass,1,1,0,1,11,1,0,14,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,33,1,2,1,1,2,0,2,7,1,6,4,0,0,0,34,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\dawn\stack\DepthFunction.java,org.jext.dawn.stack.DepthFunction,class,2,2,0,2,2,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\misc\Indent.java,org.jext.misc.Indent,class,7,13,6,7,35,1,0,22,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,125,8,3,14,3,7,6,25,50,11,32,4,0,0,0,47,1,0
