file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,addComponent/1[java.awt.Component],false,85,0,14,14,0,1,2,11,0,1,1,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,22,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,getName/0,false,125,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,isCacheable/0,false,43,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,load/0,false,46,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,save/0,false,134,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,"addComponent/2[java.lang.String,java.awt.Component]",false,56,0,10,10,0,1,2,18,0,2,2,2,0,0,0,0,0,0,0,6,12,0,0,0,0,0,35,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,getComponent/0,false,115,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\gui\AbstractOptionPane.java,org.jext.gui.AbstractOptionPane,AbstractOptionPane/1[java.lang.String],true,104,0,0,0,0,1,3,5,0,0,1,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,20,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\gjt\sp\jedit\syntax\CobolTokenMarker.java,org.gjt.sp.jedit.syntax.CobolTokenMarker,CobolTokenMarker/0,true,36,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\gjt\sp\jedit\syntax\CobolTokenMarker.java,org.gjt.sp.jedit.syntax.CobolTokenMarker,"markTokensImpl/3[byte,javax.swing.text.Segment,int]",false,41,4,3,0,3,17,3,77,1,6,3,3,1,1,1,4,0,1,3,3,29,11,4,0,0,0,21,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\gjt\sp\jedit\syntax\CobolTokenMarker.java,org.gjt.sp.jedit.syntax.CobolTokenMarker,getKeywords/0,false,144,1,3,1,2,2,1,644,1,0,0,1,0,0,0,1,0,0,638,0,1,0,1,0,0,0,20,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\gjt\sp\jedit\syntax\CobolTokenMarker.java,org.gjt.sp.jedit.syntax.CobolTokenMarker,"doKeyword/3[javax.swing.text.Segment,int,char]",false,817,2,3,1,2,3,2,12,1,3,3,2,0,0,0,2,0,0,0,1,5,3,2,0,0,0,13,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\scripting\dawn\Run.java,org.jext.scripting.dawn.Run$ThreadExecuter,"ThreadExecuter/2[java.lang.String,org.jext.JextFrame]",true,93,1,1,1,0,1,1,6,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\org\jext\scripting\dawn\Run.java,org.jext.scripting.dawn.Run$ThreadExecuter,run/0,false,103,4,11,0,11,5,13,18,0,2,0,13,0,0,0,0,1,0,4,1,2,0,3,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,"SimpleInternalFrame/3[java.lang.String,javax.swing.JToolBar,javax.swing.JComponent]",true,106,0,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,getFrameIcon/0,false,150,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,isSelected/0,false,256,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,updateUI/0,false,337,1,1,0,1,2,2,6,0,0,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,"SimpleInternalFrame/4[javax.swing.Icon,java.lang.String,javax.swing.JToolBar,javax.swing.JComponent]",true,124,3,6,0,6,3,6,18,0,1,4,6,4,7,0,2,0,0,0,0,3,0,1,0,0,0,35,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,setFrameIcon/1[javax.swing.Icon],false,160,1,1,0,1,1,3,5,0,1,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,getContent/0,false,228,1,3,2,1,2,2,3,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jext-5.0\jext-5.0\src\lib\com\jgoodies\uif_lite\panel\SimpleInternalFrame.java,com.jgoodies.uif_lite.panel.SimpleInternalFrame,getTextForeground/1[boolean],false,364,0,1,1,0,4,1,7,2,1,1,1,0,0,0,1,0,0,4,0,1,0,1,0,0,0,34,4,0,true
