file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\examples\com\jgraph\example\GraphTreeModel.java,com.jgraph.example.GraphTreeModel,class,6,8,2,6,3,2,0,8,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,7,0,7,0,0,1,0,95,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\org\jgraph\event\GraphModelListener.java,org.jgraph.event.GraphModelListener,interface,1,11,10,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\components\labels\RedirectingEditor.java,com.jgraph.components.labels.RedirectingEditor,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\algebra\cost\JGraphConstantCostFunction.java,com.jgraph.algebra.cost.JGraphConstantCostFunction,class,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,1,2,0,1,0,0,0,0,49,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\io\svg\SVGVertexWriter.java,com.jgraph.io.svg.SVGVertexWriter,class,9,10,1,9,10,1,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,15,62,1,1,6,0,7,6,7,34,15,29,2,0,0,0,82,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\examples\com\jgraph\example\fastgraph\FastGraphFactory.java,com.jgraph.example.fastgraph.FastGraphFactory,class,10,11,1,10,4,8,0,7,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,36,2,0,1,0,0,0,7,8,4,5,1,0,1,0,42,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\org\jgraph\event\GraphLayoutCacheEvent.java,org.jgraph.event.GraphLayoutCacheEvent,class,1,5,4,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,1,0,1,0,0,1,0,66,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\org\jgraph\graph\DefaultGraphModel.java,org.jgraph.graph.DefaultGraphModel$GraphModelEdit,innerclass,8,8,0,8,53,3,0,38,218,0.87797624,0.0,0.0,24,0,22,0,2,0,24,0,0,0,7,0,0,0,7,0,0,0,3,171,16,6,18,0,1,13,12,57,5,33,4,0,0,0,165,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\org\jgraph\plaf\basic\BasicGraphUI.java,org.jgraph.plaf.basic.BasicGraphUI$RootHandle,innerclass,14,14,0,14,198,1,0,140,21,0.78333336,0.0,0.0,15,0,9,0,6,0,15,0,0,0,20,0,0,0,20,0,0,0,24,476,14,13,80,3,16,0,64,180,77,112,10,0,0,0,247,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\layout\JGraphModelFacade.java,com.jgraph.layout.JGraphModelFacade,class,7,10,3,7,29,2,0,14,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,62,5,3,9,0,4,0,5,13,1,13,3,0,0,0,180,1,0
