file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\examples\com\jgraph\example\GraphTreeModel.java,com.jgraph.example.GraphTreeModel,GraphTreeModel/1[org.jgraph.graph.GraphModel],true,66,2,2,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\examples\com\jgraph\example\GraphTreeModel.java,com.jgraph.example.GraphTreeModel,main/1[java.lang.String[]],false,44,3,4,0,4,1,7,14,0,7,1,7,0,0,0,0,0,0,1,0,7,0,0,0,0,0,18,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\examples\com\jgraph\example\GraphTreeModel.java,com.jgraph.example.GraphTreeModel,graphChanged/1[org.jgraph.event.GraphModelEvent],false,70,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\org\jgraph\event\GraphModelListener.java,org.jgraph.event.GraphModelListener,graphChanged/1[org.jgraph.event.GraphModelEvent],false,20,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\components\labels\RedirectingEditor.java,com.jgraph.components.labels.RedirectingEditor,RedirectingEditor/0,true,28,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\components\labels\RedirectingEditor.java,com.jgraph.components.labels.RedirectingEditor,createGraphCellEditor/0,false,134,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\algebra\cost\JGraphConstantCostFunction.java,com.jgraph.algebra.cost.JGraphConstantCostFunction,JGraphConstantCostFunction/1[double],true,25,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\algebra\cost\JGraphConstantCostFunction.java,com.jgraph.algebra.cost.JGraphConstantCostFunction,getCost/1[java.lang.Object],false,32,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\src\com\jgraph\io\svg\SVGVertexWriter.java,com.jgraph.io.svg.SVGVertexWriter,"createNode/6[com.jgraph.io.svg.SVGGraphWriter,org.w3c.dom.Document,org.jgraph.graph.GraphLayoutCache,org.jgraph.graph.CellView,double,double]",false,39,9,20,1,19,10,25,57,1,26,6,25,0,0,1,6,0,7,6,5,31,15,2,0,0,0,70,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraph-5.13.0.0\jgraph-5.13.0.0\examples\com\jgraph\example\fastgraph\FastGraphFactory.java,com.jgraph.example.fastgraph.FastGraphFactory,"createEdge/3[java.util.Map,org.jgraph.graph.Port,org.jgraph.graph.Port]",false,57,4,5,0,5,2,2,13,1,2,3,2,0,0,0,1,0,0,0,1,4,0,1,0,0,0,21,4,0,true
