file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\FormatTextFontStyleUnderline.java,org.jgraph.pad.actionsbase.lazy.FormatTextFontStyleUnderline,class,1,1,0,1,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\ToolsShowStatusbar.java,org.jgraph.pad.actionsbase.lazy.ToolsShowStatusbar,class,3,4,1,3,4,6,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,2,0,2,1,0,0,0,23,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\HelpHomepage.java,org.jgraph.pad.actionsbase.lazy.HelpHomepage,class,2,2,0,2,4,4,0,1,0,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,1,15,1,0,0,0,0,1,0,2,0,2,0,0,0,0,31,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\plugins\codecs\FileExportJPG.java,org.jgraph.plugins.codecs.FileExportJPG,class,1,1,0,1,1,6,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\microplatform\web\applet\AppletFriendlyXMLEncoder.java,org.microplatform.web.applet.AppletFriendlyXMLEncoder$javax_swing_tree_DefaultMutableTreeNode_PersistenceDelegate,innerclass,1,1,0,1,2,4,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,1,0,3,0,3,1,0,0,0,26,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\microplatform\web\applet\AppletFriendlyXMLEncoder.java,org.microplatform.web.applet.AppletFriendlyXMLEncoder$java_awt_Color_PersistenceDelegate,innerclass,1,1,0,1,1,4,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,2,0,2,0,0,0,0,20,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\ViewPorts.java,org.jgraph.pad.actionsbase.lazy.ViewPorts,class,3,3,0,3,3,6,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,1,0,0,0,18,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\jgraphpad\JGraphpad.java,org.jgraph.pad.jgraphpad.JGraphpad$Anonymous3,anonymous,7,7,0,7,5,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,2,1,1,0,0,7,0,4,2,0,0,0,25,-1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\jgraphpad\JGraphpad.java,org.jgraph.pad.jgraphpad.JGraphpad$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\FormatTextPositionBottom.java,org.jgraph.pad.actionsbase.lazy.FormatTextPositionBottom,class,3,3,0,3,1,4,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\GraphDropEnabled.java,org.jgraph.pad.actionsbase.lazy.GraphDropEnabled,class,3,3,0,3,3,6,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,1,0,0,0,18,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\jgraphpad\JGraphpad.java,org.jgraph.pad.jgraphpad.JGraphpad$Anonymous4,anonymous,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,2,0,2,2,0,0,0,10,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\FormatUnlockSize.java,org.jgraph.pad.actionsbase.lazy.FormatUnlockSize,class,3,3,0,3,1,4,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0
