file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\FormatTextFontStyleUnderline.java,org.jgraph.pad.actionsbase.lazy.FormatTextFontStyleUnderline,actionPerformed/1[java.awt.event.ActionEvent],false,33,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\ToolsShowStatusbar.java,org.jgraph.pad.actionsbase.lazy.ToolsShowStatusbar,actionPerformed/1[java.awt.event.ActionEvent],false,42,1,1,0,1,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\ToolsShowStatusbar.java,org.jgraph.pad.actionsbase.lazy.ToolsShowStatusbar,isSelected/1[java.lang.String],false,35,1,2,1,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\ToolsShowStatusbar.java,org.jgraph.pad.actionsbase.lazy.ToolsShowStatusbar,update/0,false,49,1,1,0,1,2,6,7,0,2,0,6,1,1,1,0,0,0,0,0,2,0,1,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\HelpHomepage.java,org.jgraph.pad.actionsbase.lazy.HelpHomepage,actionPerformed/1[java.awt.event.ActionEvent],false,44,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\HelpHomepage.java,org.jgraph.pad.actionsbase.lazy.HelpHomepage,setUrl/1[java.lang.String],false,58,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\HelpHomepage.java,org.jgraph.pad.actionsbase.lazy.HelpHomepage,update/0,false,51,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\pad\actionsbase\lazy\HelpHomepage.java,org.jgraph.pad.actionsbase.lazy.HelpHomepage,getUrl/0,false,54,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\jgraph\plugins\codecs\FileExportJPG.java,org.jgraph.plugins.codecs.FileExportJPG,actionPerformed/1[java.awt.event.ActionEvent],false,32,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgraphpad-5.10.0.2\jgraphpad-5.10.0.2\src\org\microplatform\web\applet\AppletFriendlyXMLEncoder.java,org.microplatform.web.applet.AppletFriendlyXMLEncoder$javax_swing_tree_DefaultMutableTreeNode_PersistenceDelegate,"initialize/4[java.lang.Class,java.lang.Object,java.lang.Object,java.beans.Encoder]",false,678,1,1,0,1,2,4,8,0,3,4,4,0,0,1,0,0,0,1,0,3,0,1,0,0,0,13,1,0,false
