file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\ext\JGraphModelAdapter.java,org.jgrapht.ext.JGraphModelAdapter$DefaultCellFactory,innerclass,5,5,0,5,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,2,0,0,0,0,0,1,1,0,1,0,0,0,0,25,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\Subgraph.java,org.jgrapht.graph.Subgraph$BaseGraphListener,innerclass,7,7,0,7,5,1,0,7,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,19,0,0,0,0,0,0,1,4,0,4,1,0,0,0,35,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph6.java,org.jgrapht.alg.KShortestPathCompleteGraph6,class,4,6,2,4,3,5,0,5,3,0.6875,NaN,NaN,3,0,1,2,0,0,1,0,0,0,16,1,10,6,0,0,1,0,0,63,0,0,0,0,0,37,16,16,0,16,0,0,0,0,42,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\ext\IntegerEdgeNameProvider.java,org.jgrapht.ext.IntegerEdgeNameProvider,class,2,4,2,2,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,16,1,0,1,0,0,0,2,5,0,3,1,0,0,0,57,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph5.java,org.jgrapht.alg.KShortestPathCompleteGraph5,class,4,6,2,4,3,5,0,5,3,0.6969696,NaN,NaN,3,0,1,2,0,0,1,0,0,0,11,1,10,1,0,0,1,0,0,47,0,0,0,0,0,26,11,11,0,11,0,0,0,0,37,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,innerclass,8,8,0,8,8,1,0,7,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,4,35,1,0,0,0,0,2,7,5,1,3,1,0,0,0,33,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultListenableGraph.java,org.jgrapht.graph.DefaultListenableGraph$FlyweightVertexEvent,innerclass,2,2,0,2,3,3,0,0,3,1.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,3,0,1,0,0,0,0,28,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultDirectedWeightedGraph.java,org.jgrapht.graph.DefaultDirectedWeightedGraph,class,6,10,4,6,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,48,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\experimental\dag\DirectedAcyclicGraph.java,org.jgrapht.experimental.dag.DirectedAcyclicGraph$TopoComparator,innerclass,2,2,0,2,2,1,0,2,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,32,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\generate\RandomGraphGenerator.java,org.jgrapht.generate.RandomGraphGenerator$EdgeTopologyFactory,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0
