file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\ext\JGraphModelAdapter.java,org.jgrapht.ext.JGraphModelAdapter$DefaultCellFactory,createVertexCell/1[VV],false,840,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\ext\JGraphModelAdapter.java,org.jgrapht.ext.JGraphModelAdapter$DefaultCellFactory,createEdgeCell/1[EE],false,832,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\Subgraph.java,org.jgrapht.graph.Subgraph$BaseGraphListener,vertexAdded/1[org.jgrapht.event.GraphVertexChangeEvent<V>],false,526,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\Subgraph.java,org.jgrapht.graph.Subgraph$BaseGraphListener,"edgeAdded/1[org.jgrapht.event.GraphEdgeChangeEvent<V,E>]",false,502,5,4,0,4,2,4,6,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\Subgraph.java,org.jgrapht.graph.Subgraph$BaseGraphListener,"edgeRemoved/1[org.jgrapht.event.GraphEdgeChangeEvent<V,E>]",false,516,4,2,0,2,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\Subgraph.java,org.jgrapht.graph.Subgraph$BaseGraphListener,vertexRemoved/1[org.jgrapht.event.GraphVertexChangeEvent<V>],false,534,3,2,0,2,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph6.java,org.jgrapht.alg.KShortestPathCompleteGraph6,addVertices/0,false,146,1,2,1,1,1,1,8,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph6.java,org.jgrapht.alg.KShortestPathCompleteGraph6,addEdges/0,false,103,1,3,1,2,1,2,32,0,0,0,2,0,0,0,0,0,0,30,15,15,0,0,0,0,0,5,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph6.java,org.jgrapht.alg.KShortestPathCompleteGraph6,KShortestPathCompleteGraph6/0,true,93,2,4,2,2,1,2,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\ext\IntegerEdgeNameProvider.java,org.jgrapht.ext.IntegerEdgeNameProvider,clear/0,false,60,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\ext\IntegerEdgeNameProvider.java,org.jgrapht.ext.IntegerEdgeNameProvider,getEdgeName/1[E],false,71,1,0,0,0,2,3,8,1,1,1,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph5.java,org.jgrapht.alg.KShortestPathCompleteGraph5,addEdges/0,false,93,1,3,1,2,1,2,22,0,0,0,2,0,0,0,0,0,0,20,10,10,0,0,0,0,0,5,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph5.java,org.jgrapht.alg.KShortestPathCompleteGraph5,addVertices/0,false,118,1,2,1,1,1,1,7,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\alg\KShortestPathCompleteGraph5.java,org.jgrapht.alg.KShortestPathCompleteGraph5,KShortestPathCompleteGraph5/0,true,83,2,3,1,2,1,2,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,"edgeTraversed/1[org.jgrapht.event.EdgeTraversalEvent<java.lang.String,org.jgrapht.graph.DefaultEdge>]",false,208,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,vertexFinished/1[org.jgrapht.event.VertexTraversalEvent<java.lang.String>],false,224,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,getFinishString/0,false,229,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,connectedComponentStarted/1[org.jgrapht.event.ConnectedComponentTraversalEvent],false,200,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
