file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\blocks\DistributedLockManager.java,org.jgroups.blocks.DistributedLockManager$AcquireLockDecree,innerclass,1,1,0,1,4,2,0,2,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,12,1,0,0,0,2,0,0,3,1,2,1,0,0,0,48,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous3,anonymous,0,0,0,0,3,1,0,3,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\demos\TotalTokenDemo.java,org.jgroups.demos.TotalTokenDemo$ColorPanel,innerclass,0,0,0,0,4,5,0,8,4,0.5,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,1,26,1,0,0,0,0,0,4,8,2,8,0,0,0,0,25,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous1,anonymous,0,0,0,0,9,1,0,7,6,0.33333334,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,30,6,0,0,0,0,0,0,1,0,1,0,0,0,0,17,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous2,anonymous,0,0,0,0,9,1,0,7,6,0.33333334,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,30,6,0,0,0,0,0,0,1,0,1,0,0,0,0,18,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\tests\other\org\jgroups\tests\BundlerTest.java,org.jgroups.tests.BundlerTest,class,5,5,0,5,15,3,0,10,0,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,4,4,0,0,0,4,4,0,2,108,0,5,6,0,0,33,22,26,22,24,2,0,2,0,70,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\stack\IpAddress.java,org.jgroups.stack.IpAddress,class,7,36,29,7,84,1,0,49,0,0.73214287,0.0,0.0,24,0,23,1,0,0,24,0,10,0,7,3,0,4,1,2,2,0,9,218,25,0,32,2,14,11,44,60,7,31,5,0,0,0,157,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\protocols\pbcast\FLUSH.java,org.jgroups.protocols.pbcast.FLUSH,class,18,25,7,18,152,3,0,97,322,0.8880307,0.0,0.0,37,0,15,22,0,0,15,0,0,0,28,0,0,28,0,0,14,0,3,685,30,5,20,6,7,65,23,136,30,101,5,2,1,0,327,1,26
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\tests\junit\org\jgroups\tests\AddDataTest.java,org.jgroups.tests.AddDataTest,class,13,14,1,13,11,3,0,22,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,73,0,1,7,2,0,8,8,15,2,13,3,0,1,0,52,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\stack\RouterStubManager.java,org.jgroups.stack.RouterStubManager,class,11,16,5,11,27,1,2,24,23,0.80158734,0.0,0.0,14,1,13,1,0,0,13,0,0,0,9,0,0,8,1,0,9,0,1,154,8,3,7,4,0,2,3,19,0,17,2,2,0,0,62,1,0
