file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\blocks\DistributedLockManager.java,org.jgroups.blocks.DistributedLockManager$AcquireLockDecree,"AcquireLockDecree/3[java.lang.Object,java.lang.Object,java.lang.Object]",true,751,0,1,1,0,1,1,4,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\blocks\DistributedLockManager.java,org.jgroups.blocks.DistributedLockManager$AcquireLockDecree,isValid/0,false,761,0,0,0,0,3,2,5,1,1,0,2,0,0,0,0,0,2,0,0,2,1,1,0,0,0,40,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous3,next/0,false,261,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous3,hasNext/0,false,260,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous3,remove/0,false,262,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\demos\TotalTokenDemo.java,org.jgroups.demos.TotalTokenDemo$ColorPanel,"setSeq/3[long,long,long]",false,465,0,1,1,0,1,1,6,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\demos\TotalTokenDemo.java,org.jgroups.demos.TotalTokenDemo$ColorPanel,getPreferredSize/0,false,458,0,0,0,0,1,2,5,1,2,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\demos\TotalTokenDemo.java,org.jgroups.demos.TotalTokenDemo$ColorPanel,ColorPanel/0,true,450,0,1,1,0,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\demos\TotalTokenDemo.java,org.jgroups.demos.TotalTokenDemo$ColorPanel,paintComponent/1[java.awt.Graphics],false,473,0,0,0,0,1,3,7,0,3,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,10,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgroups-2.10.0\jgroups-2.10.0\src\org\jgroups\util\UnmodifiableVector.java,org.jgroups.util.UnmodifiableVector$Anonymous1,next/0,false,186,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
