file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous5,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous6,anonymous,2,2,0,2,5,1,0,11,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,1,0,1,2,0,0,0,15,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\EntryComparator.java,net.sf.jmoney.EntryComparator$DateComparator,innerclass,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous1,anonymous,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,class,15,23,8,15,36,5,0,56,36,0.8615384,0.0,0.0,13,0,3,10,0,0,3,0,0,0,20,6,6,14,0,0,6,0,5,281,9,2,9,2,3,29,119,49,1,39,3,6,1,0,133,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous2,anonymous,5,5,0,5,6,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,5,0,0,0,0,1,0,0,0,12,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\TransferDialog.java,net.sf.jmoney.gui.TransferDialog,class,3,10,7,3,14,6,0,31,0,0.7485381,0.0,0.0,9,0,3,6,0,0,3,0,0,0,19,0,0,0,0,19,0,0,4,140,3,0,2,2,3,6,107,27,6,21,2,5,0,0,66,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\UserProperties.java,net.sf.jmoney.UserProperties,class,1,7,6,1,22,1,0,11,0,0.4642857,0.0,0.0,14,0,14,0,0,0,14,0,0,0,2,0,0,2,0,0,0,0,1,60,10,0,4,0,0,22,0,6,0,6,1,0,0,0,36,1,0
