file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous5,valueChanged/1[javax.swing.event.TreeSelectionEvent],false,304,1,2,0,2,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,295,1,62,0,62,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous6,mouseReleased/1[java.awt.event.MouseEvent],false,341,1,3,0,3,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous6,mousePressed/1[java.awt.event.MouseEvent],false,338,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous6,maybeShowPopup/1[java.awt.event.MouseEvent],false,344,1,2,2,0,3,10,9,0,1,1,10,0,0,0,0,0,0,0,1,1,0,2,0,0,0,12,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\EntryComparator.java,net.sf.jmoney.EntryComparator$DateComparator,"compareEntries/2[net.sf.jmoney.model.Entry,net.sf.jmoney.model.Entry]",false,119,2,2,0,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\MainFrame.java,net.sf.jmoney.gui.MainFrame$Anonymous1,propertyChange/1[java.beans.PropertyChangeEvent],false,77,2,15,0,15,3,4,3,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,updateFromAndTo/0,false,225,1,3,2,1,8,8,48,0,2,0,8,0,0,0,2,0,0,0,18,10,0,1,0,0,0,16,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,"addEntries/4[java.util.Vector,java.util.HashMap,java.lang.String,java.util.Vector]",false,176,5,9,2,7,5,12,22,0,4,4,12,2,2,1,1,0,1,0,0,5,0,3,0,0,0,15,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,generateReport/0,false,99,8,6,1,5,5,14,34,0,7,0,14,1,4,0,1,1,0,19,0,8,1,2,0,0,0,38,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,updateTo/0,false,285,1,4,2,2,1,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,accept/1[net.sf.jmoney.model.Entry],false,203,3,4,1,3,2,3,4,2,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jmoney-0.4.4\jmoney-0.4.4\source\net\sf\jmoney\gui\IncomeExpenseReportPanel.java,net.sf.jmoney.gui.IncomeExpenseReportPanel,updateFrom/0,false,280,1,4,2,2,1,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
