file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,class,16,20,4,16,49,5,0,35,30,0.7307692,0.0,0.0,13,0,10,0,1,2,13,0,1,0,6,0,0,6,0,0,4,0,3,177,20,10,14,1,1,1,28,51,5,31,3,0,0,0,147,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,class,9,19,10,9,43,1,0,29,9,0.6727272,0.0,0.0,11,0,10,0,0,1,11,0,0,0,5,0,0,4,0,1,3,0,4,148,8,8,11,1,8,5,38,51,18,34,3,0,0,0,135,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,class,9,10,1,9,44,6,0,17,0,0.375,0.0,0.0,8,0,5,0,3,0,8,0,0,0,2,0,0,2,0,0,0,0,3,110,32,0,13,0,19,0,0,14,0,14,2,0,0,0,58,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,class,6,8,2,6,7,6,0,6,0,0.14285715,0.0,0.0,7,0,4,0,3,0,7,0,0,0,1,0,0,1,0,0,0,0,0,25,5,0,0,0,0,0,0,1,0,1,0,0,0,0,42,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\LabelAST.java,jparse.stmt.LabelAST,class,8,9,1,8,6,6,0,7,0,0.16666667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,1,0,0,1,0,0,0,0,0,24,4,0,0,0,0,0,0,1,0,1,0,0,0,0,44,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\ArithmeticAST.java,jparse.expr.ArithmeticAST,class,9,10,1,9,38,6,0,16,0,0.25,0.0,0.0,8,0,5,0,3,0,8,0,0,0,2,0,0,2,0,0,0,0,2,79,28,0,25,0,1,0,0,13,19,11,4,0,0,0,72,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\ListAST.java,jparse.expr.ListAST,class,8,13,5,8,20,6,0,16,0,0.44444445,0.0,0.0,9,0,6,0,3,0,9,0,0,0,2,0,0,2,0,0,1,0,1,62,7,6,4,0,2,1,12,18,4,13,2,0,0,0,60,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\MethodCallAST.java,jparse.expr.MethodCallAST,class,15,16,1,15,25,6,0,26,12,0.6333333,0.0,0.0,12,0,9,0,3,0,12,0,0,0,5,0,0,5,0,0,0,0,2,81,11,2,9,0,6,3,0,19,0,13,1,0,0,0,96,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\test\JavaType.java,test.JavaType,class,3,3,0,3,9,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40,1,2,2,4,0,4,3,6,1,5,4,0,0,0,50,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\ShiftAST.java,jparse.expr.ShiftAST,class,8,9,1,8,18,6,0,9,2,0.4375,0.0,0.0,8,0,5,0,3,0,8,0,0,0,2,0,0,2,0,0,0,0,0,47,9,0,10,0,11,0,0,11,6,11,1,0,0,0,57,17,0
