file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,getParameters/0,false,175,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,getParameterTypes/0,false,186,6,7,3,4,6,4,18,1,2,0,4,0,0,1,2,0,1,0,5,7,1,2,0,0,0,28,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,bestMatch/1[jparse.Constructor],false,315,3,3,0,3,10,3,25,5,6,1,3,1,1,1,2,0,0,0,8,8,0,3,0,0,0,35,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,getBody/0,false,244,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,"ConstrAST/4[jparse.ModifierAST,jparse.JavaAST,jparse.JavaAST,jparse.stmt.CompoundAST]",true,97,9,5,1,4,6,7,29,0,4,4,7,0,0,2,5,0,0,0,1,13,0,3,0,0,0,38,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,parseComplete/0,false,139,2,2,0,2,2,2,9,0,1,0,2,0,0,1,0,0,0,0,1,4,0,1,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,toString/0,false,353,3,5,1,4,6,8,27,1,5,0,8,2,2,2,1,0,0,1,9,5,4,2,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,ConstrAST/0,true,81,3,2,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,14,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,getDeclaringClass/0,false,155,2,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,computeExceptions/0,false,228,3,3,1,2,3,2,11,1,2,0,2,0,0,1,0,1,0,0,1,3,0,2,0,0,0,33,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,getModifiers/0,false,166,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,getExceptionTypes/0,false,214,2,2,1,1,2,1,4,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,23,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\ConstrAST.java,jparse.ConstrAST,"match/2[jparse.Type[],jparse.Type]",false,257,2,7,0,7,9,11,28,7,5,2,11,3,1,2,3,0,0,0,1,6,0,3,0,0,0,34,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,SymbolTable/0,true,75,0,6,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,addMeth/1[jparse.MethAST],false,116,1,2,1,1,4,2,23,0,5,1,2,0,0,1,0,0,1,0,12,11,9,2,0,0,0,22,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,setEnclosingType/1[jparse.TypeAST],false,84,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,addVar/1[jparse.expr.VarAST],false,93,2,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,"addLabel/2[java.lang.String,jparse.JavaAST]",false,274,1,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,"getMeths/3[java.lang.String,jparse.Type[],jparse.Type]",false,209,4,8,2,6,12,9,38,1,10,3,9,0,0,3,0,1,1,0,14,17,8,2,0,0,0,46,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,getMeths/0,false,264,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,getLabel/1[java.lang.String],false,285,2,4,3,1,3,2,4,1,1,1,2,1,0,0,2,0,3,0,0,1,0,0,0,0,0,29,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,toString/0,false,292,2,3,1,2,6,7,24,1,2,0,7,1,0,1,1,0,0,4,2,2,0,2,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,"getMeth/3[java.lang.String,jparse.Type[],jparse.Type]",false,151,4,8,2,6,10,9,33,3,10,3,9,2,1,3,6,0,0,1,9,14,1,3,0,0,0,45,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SymbolTable.java,jparse.SymbolTable,getVar/1[java.lang.String],false,104,2,6,5,1,3,2,4,1,1,1,2,1,0,0,2,0,3,0,0,1,0,0,0,0,0,28,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,getRight/0,false,203,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,getVarList/0,false,183,2,2,0,2,2,1,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,computeValue/0,false,81,3,5,0,5,34,11,82,27,12,0,11,0,0,0,10,0,17,0,0,12,0,2,0,0,0,24,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,BooleanAST/1[antlr.Token],true,58,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,computeType/0,false,70,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,parseComplete/0,false,62,3,3,0,3,2,3,6,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,computeExceptions/0,false,74,2,2,0,2,2,2,3,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\BooleanAST.java,jparse.expr.BooleanAST,getLeft/0,false,194,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,InitializerAST/1[antlr.Token],true,52,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,computeType/0,false,61,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,parseComplete/0,false,56,3,3,1,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,computeValue/0,false,70,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,getVarList/0,false,74,2,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\expr\InitializerAST.java,jparse.expr.InitializerAST,computeExceptions/0,false,66,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
