file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,class,1,3,2,1,16,4,0,21,7,0.7083334,0.0,0.0,6,3,2,2,0,2,4,0,0,0,4,2,0,3,0,1,1,0,5,74,0,1,5,2,2,0,8,12,4,10,5,1,0,0,135,16,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous3,anonymous,1,1,0,1,6,1,0,8,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,1,0,0,0,2,0,0,0,1,0,0,0,9,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\BootErrorHandlerGui.java,org.java.plugin.boot.BootErrorHandlerGui,class,5,6,1,5,6,1,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,22,2,1,1,0,0,4,0,3,0,3,2,0,0,0,40,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,class,1,4,3,1,10,1,0,0,37,0.82,0.0,0.0,10,0,0,0,0,10,10,0,0,0,5,0,0,5,0,0,0,0,0,36,5,0,0,0,0,0,0,5,0,5,0,0,0,0,17,16,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,class,6,14,8,6,8,2,7,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,34,8,0,0,0,0,0,0,4,0,4,0,0,0,0,26,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,class,19,24,5,19,75,5,0,56,135,0.8246754,0.0,0.0,22,0,16,3,0,3,19,0,0,0,7,0,0,7,0,0,1,0,12,347,30,10,20,2,10,27,2,48,11,34,5,0,1,0,103,0,6
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionImpl.java,org.java.plugin.registry.xml.ExtensionImpl,class,18,23,5,18,50,5,0,52,67,0.73333335,0.0,0.0,15,0,8,2,0,5,13,0,0,0,3,0,0,3,0,0,1,0,6,395,21,7,10,0,8,14,5,33,4,29,3,0,1,0,69,16,2
