file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,384,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,update/1[java.awt.Graphics],false,129,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,"SplashWindow/2[java.awt.Frame,java.awt.Image]",true,83,0,2,1,1,2,9,27,0,5,2,9,0,0,0,0,1,2,0,4,6,4,1,1,0,0,39,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,paint/1[java.awt.Graphics],false,140,0,1,1,0,2,2,9,0,0,1,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,splash/1[java.awt.Image],false,159,1,2,1,1,7,5,18,0,1,1,5,0,0,1,3,1,0,0,1,2,0,5,0,0,0,18,10,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,disposeSplash/0,false,201,0,1,1,0,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,8,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\SplashWindow.java,org.java.plugin.boot.SplashWindow,splash/1[java.net.URL],false,192,1,2,1,1,2,3,5,0,0,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,14,8,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,438,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous3,mousePressed/1[java.awt.event.MouseEvent],false,461,1,1,0,1,2,2,6,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous3,mouseReleased/1[java.awt.event.MouseEvent],false,468,1,1,0,1,2,2,6,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous3,copyText/0,false,475,0,2,2,0,2,6,10,1,0,0,6,0,0,0,1,0,0,0,2,0,0,1,0,0,0,3,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\ErrorDialog.java,org.java.plugin.boot.ErrorDialog$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,529,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\BootErrorHandlerGui.java,org.java.plugin.boot.BootErrorHandlerGui,"handleError/2[java.lang.String,java.lang.Exception]",false,60,2,2,0,2,1,2,3,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\BootErrorHandlerGui.java,org.java.plugin.boot.BootErrorHandlerGui,"handleFatalError/2[java.lang.String,java.lang.Throwable]",false,50,2,2,0,2,1,2,3,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\BootErrorHandlerGui.java,org.java.plugin.boot.BootErrorHandlerGui,handleFatalError/1[java.lang.String],false,40,2,2,0,2,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-boot\org\java\plugin\boot\BootErrorHandlerGui.java,org.java.plugin.boot.BootErrorHandlerGui,"handleError/2[java.lang.String,org.java.plugin.registry.IntegrityCheckReport]",false,69,4,5,0,5,3,9,11,1,3,2,9,0,0,1,1,0,0,1,0,3,0,2,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,getDocumentation/0,false,528,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,getId/0,false,536,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,getParams/0,false,560,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,setDocumentation/1[org.java.plugin.registry.xml.ModelDocumentation],false,532,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,setPointId/1[java.lang.String],false,556,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,getPluginId/0,false,544,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,setPluginId/1[java.lang.String],false,548,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,setId/1[java.lang.String],false,540,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,ModelExtension/0,true,524,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\Model.java,org.java.plugin.registry.xml.ModelExtension,getPointId/0,false,552,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,getDeclaringPluginDescriptor/0,false,39,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,getDeclaringPluginFragment/0,false,56,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,setDeclaringPluginDescriptor/1[org.java.plugin.registry.PluginDescriptor],false,48,2,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,getDocumentation/0,false,89,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,setDeclaringPluginFragment/1[org.java.plugin.registry.PluginFragment],false,65,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,setDocumentation/1[org.java.plugin.registry.Documentation],false,97,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,setDocsPath/1[java.lang.String],false,81,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source-tools\org\java\plugin\tools\mocks\MockPluginElement.java,org.java.plugin.tools.mocks.MockPluginElement,getDocsPath/0,false,73,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getAvailableExtensions/0,false,133,1,2,1,1,2,3,6,1,0,0,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getMultiplicity/0,false,97,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getConnectedExtension/1[java.lang.String],false,181,2,2,0,2,3,3,10,1,1,1,3,2,2,0,2,0,0,2,0,1,1,1,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getDescendants/0,false,416,1,1,0,1,2,1,6,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getParentPluginId/0,false,359,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,isExtensionAvailable/1[java.lang.String],false,160,1,1,0,1,2,2,6,1,0,1,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,collectDescendants/0,false,393,5,8,1,7,5,12,16,0,4,0,12,0,0,2,0,0,0,2,0,6,1,4,0,0,0,20,2,1,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getUniqueId/0,false,89,5,14,9,5,1,5,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,updateExtensionsLists/0,false,101,9,20,6,14,7,19,22,0,4,0,19,1,1,2,0,0,0,5,0,6,2,5,0,0,0,25,2,2,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getParameterDefinition/1[java.lang.String],false,343,4,3,0,3,3,7,9,1,2,1,7,2,1,1,0,0,0,3,0,2,1,2,0,0,0,25,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,isSuccessorOf/1[org.java.plugin.registry.ExtensionPoint],false,374,7,8,0,8,6,9,14,4,0,1,9,0,0,0,2,1,2,0,0,0,0,1,0,0,0,17,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,registryChanged/0,false,430,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,isExtensionConnected/1[java.lang.String],false,197,1,1,0,1,2,2,6,1,0,1,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getAvailableExtension/1[java.lang.String],false,144,2,2,0,2,3,3,10,1,1,1,3,2,2,0,2,0,0,2,0,1,1,1,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,"isExtensionPointAvailable/2[java.lang.String,java.lang.String]",false,293,5,7,1,6,4,10,12,3,2,2,10,0,0,1,0,0,1,0,0,2,0,2,0,0,0,17,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,getParentExtensionPointId/0,false,366,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jpf-1.5.1\jpf-1.5.1\source\org\java\plugin\registry\xml\ExtensionPointImpl.java,org.java.plugin.registry.xml.ExtensionPointImpl,toString/0,false,426,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,6,1,0,true
