file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\foo\SamplePlugin3.java,com.foo.SamplePlugin3,class,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\AllTests.java,com.ecyrd.jspwiki.AllTests,class,7,7,0,7,5,3,0,8,1,0.0,0.0,0.0,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,49,1,0,1,1,0,2,0,3,0,3,2,0,0,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\admin\SimpleAdminBean.java,com.ecyrd.jspwiki.ui.admin.SimpleAdminBean,class,5,9,4,5,8,2,4,12,10,0.8,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,1,39,3,1,0,1,0,11,1,6,5,6,3,0,0,0,93,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\providers\BasicAttachmentProvider.java,com.ecyrd.jspwiki.providers.BasicAttachmentProvider$AttachmentVersionFilter,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\SearchResultComparator.java,com.ecyrd.jspwiki.SearchResultComparator,class,2,4,2,2,2,1,0,4,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,8,1,0,1,0,0,0,2,3,1,2,1,0,0,0,30,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\InputValidator.java,com.ecyrd.jspwiki.ui.InputValidator,class,3,7,4,3,15,1,0,14,0,0.6000001,0.0,0.0,5,1,5,0,0,0,5,0,4,0,9,6,3,3,3,0,9,0,10,68,8,0,1,0,0,10,4,21,0,17,2,0,0,0,131,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\xmlrpc\RPCServlet.java,com.ecyrd.jspwiki.xmlrpc.RPCServlet$WikiXmlRpcContext,innerclass,3,3,0,3,5,1,0,0,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,4,0,0,0,0,0,0,2,0,2,0,0,0,0,16,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\PageManager.java,com.ecyrd.jspwiki.PageManager$LockReaper,innerclass,4,4,0,4,4,3,0,12,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,5,1,4,1,4,3,0,0,0,52,2,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\auth\SecurityEventTrap.java,com.ecyrd.jspwiki.auth.SecurityEventTrap,class,3,5,2,3,5,1,0,4,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,1,0,3,0,2,1,0,0,0,35,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\parser\LinkParser.java,com.ecyrd.jspwiki.parser.LinkParser$Link,innerclass,3,3,0,3,28,1,0,19,23,0.66071427,0.0,0.0,14,0,10,0,4,0,14,0,0,0,4,0,0,4,0,0,0,0,0,90,11,1,10,0,0,2,5,11,1,7,2,0,0,0,94,9,0
