file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\foo\SamplePlugin3.java,com.foo.SamplePlugin3,initialize/1[com.ecyrd.jspwiki.WikiEngine],false,19,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\foo\SamplePlugin3.java,com.foo.SamplePlugin3,"execute/2[com.ecyrd.jspwiki.WikiContext,java.util.Map]",false,24,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\AllTests.java,com.ecyrd.jspwiki.AllTests,suite/0,false,44,4,4,0,4,1,4,31,1,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\AllTests.java,com.ecyrd.jspwiki.AllTests,AllTests/1[java.lang.String],true,39,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\AllTests.java,com.ecyrd.jspwiki.AllTests,(initializer 1),false,21,2,15,0,15,3,4,13,0,2,0,4,0,0,0,1,1,0,1,0,2,0,2,0,0,0,14,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\admin\SimpleAdminBean.java,com.ecyrd.jspwiki.ui.admin.SimpleAdminBean,initialize/1[com.ecyrd.jspwiki.WikiEngine],false,61,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\admin\SimpleAdminBean.java,com.ecyrd.jspwiki.ui.admin.SimpleAdminBean,doPost/1[com.ecyrd.jspwiki.WikiContext],false,111,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\admin\SimpleAdminBean.java,com.ecyrd.jspwiki.ui.admin.SimpleAdminBean,SimpleAdminBean/0,true,53,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\admin\SimpleAdminBean.java,com.ecyrd.jspwiki.ui.admin.SimpleAdminBean,getId/0,false,121,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\admin\SimpleAdminBean.java,com.ecyrd.jspwiki.ui.admin.SimpleAdminBean,doGet/1[com.ecyrd.jspwiki.WikiContext],false,72,3,3,0,3,4,10,24,1,5,1,10,0,0,1,0,1,0,11,1,5,5,3,0,0,0,50,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\providers\BasicAttachmentProvider.java,com.ecyrd.jspwiki.providers.BasicAttachmentProvider$AttachmentVersionFilter,"accept/2[java.io.File,java.lang.String]",false,722,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\SearchResultComparator.java,com.ecyrd.jspwiki.SearchResultComparator,"compare/2[com.ecyrd.jspwiki.SearchResult,com.ecyrd.jspwiki.SearchResult]",false,43,2,3,0,3,2,4,5,1,1,2,4,0,0,0,1,0,0,0,1,2,1,1,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\InputValidator.java,com.ecyrd.jspwiki.ui.InputValidator,"validate/3[java.lang.String,java.lang.String,int]",false,130,3,5,2,3,8,8,37,4,6,3,8,1,1,0,0,0,0,6,0,10,0,2,0,0,0,48,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\InputValidator.java,com.ecyrd.jspwiki.ui.InputValidator,"InputValidator/2[java.lang.String,com.ecyrd.jspwiki.WikiContext]",true,75,1,4,3,1,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\InputValidator.java,com.ecyrd.jspwiki.ui.InputValidator,isBlank/1[java.lang.String],false,187,0,4,4,0,3,2,3,1,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17,25,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\InputValidator.java,com.ecyrd.jspwiki.ui.InputValidator,"validateNotNull/3[java.lang.String,java.lang.String,int]",false,105,3,6,2,4,2,6,9,2,2,3,6,2,2,0,0,0,0,1,0,2,0,1,0,0,0,36,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\ui\InputValidator.java,com.ecyrd.jspwiki.ui.InputValidator,"validateNotNull/2[java.lang.String,java.lang.String]",false,90,1,3,2,1,1,1,3,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\xmlrpc\RPCServlet.java,com.ecyrd.jspwiki.xmlrpc.RPCServlet$WikiXmlRpcContext,getWikiContext/0,false,229,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\xmlrpc\RPCServlet.java,com.ecyrd.jspwiki.xmlrpc.RPCServlet$WikiXmlRpcContext,"WikiXmlRpcContext/2[org.apache.xmlrpc.XmlRpcHandlerMapping,com.ecyrd.jspwiki.WikiContext]",true,206,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\xmlrpc\RPCServlet.java,com.ecyrd.jspwiki.xmlrpc.RPCServlet$WikiXmlRpcContext,getPassword/0,false,217,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\xmlrpc\RPCServlet.java,com.ecyrd.jspwiki.xmlrpc.RPCServlet$WikiXmlRpcContext,getUserName/0,false,223,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\xmlrpc\RPCServlet.java,com.ecyrd.jspwiki.xmlrpc.RPCServlet$WikiXmlRpcContext,getHandlerMapping/0,false,212,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\PageManager.java,com.ecyrd.jspwiki.PageManager$LockReaper,LockReaper/1[com.ecyrd.jspwiki.WikiEngine],true,621,1,1,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\src\com\ecyrd\jspwiki\PageManager.java,com.ecyrd.jspwiki.PageManager$LockReaper,backgroundTask/0,false,627,2,5,0,5,3,11,13,0,4,0,11,0,0,1,0,0,0,4,0,4,1,3,0,0,0,19,1,1,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\auth\SecurityEventTrap.java,com.ecyrd.jspwiki.auth.SecurityEventTrap,actionPerformed/1[com.ecyrd.jspwiki.event.WikiEvent],false,21,2,0,0,0,2,1,9,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,17,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jspwiki-2.8.4\jspwiki-2.8.4\tests\com\ecyrd\jspwiki\auth\SecurityEventTrap.java,com.ecyrd.jspwiki.auth.SecurityEventTrap,lastEvent/0,false,34,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
