file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\AnnotationsDemo.java,edu.uci.ics.jung.samples.AnnotationsDemo$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\AnnotationsDemo.java,edu.uci.ics.jung.samples.AnnotationsDemo$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\AnnotationsDemo.java,edu.uci.ics.jung.samples.AnnotationsDemo$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous3,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous5,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\UnicodeLabelDemo.java,edu.uci.ics.jung.samples.UnicodeLabelDemo,class,24,25,1,24,9,1,0,35,4,0.73333335,0.0,0.0,5,1,2,1,1,1,4,0,0,0,3,0,0,0,0,3,0,0,17,126,1,2,1,1,1,11,37,20,1,19,1,3,1,0,103,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-io-2.0.1-sources\edu\uci\ics\jung\io\graphml\KeyMap.java,edu.uci.ics.jung.io.graphml.KeyMap,class,4,10,6,4,13,1,0,9,4,0.4,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,66,2,1,1,0,0,0,0,4,0,3,1,0,0,0,63,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\layout\LayoutTransition.java,edu.uci.ics.jung.visualization.layout.LayoutTransition,class,12,19,7,12,6,1,0,9,0,0.4761905,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,0,0,0,7,0,0,0,0,39,1,1,0,0,4,0,2,14,8,13,1,0,0,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\annotations\AnnotatingModalGraphMouse.java,edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-algorithms-2.0.1-sources\edu\uci\ics\jung\algorithms\layout\BalloonLayout.java,edu.uci.ics.jung.algorithms.layout.BalloonLayout,class,9,12,3,9,14,2,0,26,28,0.7222222,0.0,0.0,9,0,6,0,3,0,9,0,0,0,2,0,0,0,2,0,0,0,8,74,5,1,3,0,2,0,15,22,19,21,1,1,0,0,79,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\annotations\AnnotatingModalGraphMouse.java,edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse$Anonymous3,anonymous,0,0,0,0,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,2,0,0,0,7,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\annotations\AnnotatingModalGraphMouse.java,edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
