file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\AnnotationsDemo.java,edu.uci.ics.jung.samples.AnnotationsDemo$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,156,0,76,0,76,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\AnnotationsDemo.java,edu.uci.ics.jung.samples.AnnotationsDemo$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,140,2,76,0,76,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\AnnotationsDemo.java,edu.uci.ics.jung.samples.AnnotationsDemo$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,146,2,76,0,76,1,2,3,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous1,create/0,false,71,0,23,0,23,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous3,transform/1[java.lang.Number],false,97,2,9,0,9,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous2,create/0,false,75,0,23,0,23,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],false,133,2,76,0,76,1,2,3,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\UnicodeLabelDemo.java,edu.uci.ics.jung.samples.UnicodeLabelDemo,createVertices/1[int],false,184,1,2,1,1,2,1,8,1,2,1,1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,15,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\UnicodeLabelDemo.java,edu.uci.ics.jung.samples.UnicodeLabelDemo,main/1[java.lang.String[]],false,245,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\UnicodeLabelDemo.java,edu.uci.ics.jung.samples.UnicodeLabelDemo,createEdges/1[java.lang.Integer[]],false,197,1,2,1,1,1,2,19,0,0,1,2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,13,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\UnicodeLabelDemo.java,edu.uci.ics.jung.samples.UnicodeLabelDemo,"loadImages/2[java.lang.Integer[],java.util.Map<java.lang.Integer,javax.swing.Icon>]",false,221,0,1,1,0,4,4,12,0,2,2,4,0,0,1,1,1,0,8,1,3,1,1,0,0,0,28,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\UnicodeLabelDemo.java,edu.uci.ics.jung.samples.UnicodeLabelDemo,UnicodeLabelDemo/0,true,70,21,35,1,34,1,28,58,0,12,0,28,3,1,0,0,0,1,3,1,14,0,0,3,0,0,57,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-samples-2.0.1-sources\edu\uci\ics\jung\samples\GraphFromGraphMLDemo.java,edu.uci.ics.jung.samples.GraphFromGraphMLDemo$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,127,2,76,0,76,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-io-2.0.1-sources\edu\uci\ics\jung\io\graphml\KeyMap.java,edu.uci.ics.jung.io.graphml.KeyMap,applyKeys/1[edu.uci.ics.jung.io.graphml.Metadata],false,82,3,4,1,3,2,3,6,0,1,1,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-io-2.0.1-sources\edu\uci\ics\jung\io\graphml\KeyMap.java,edu.uci.ics.jung.io.graphml.KeyMap,getKeyList/1[edu.uci.ics.jung.io.graphml.Metadata.MetadataType],false,113,2,2,2,0,2,2,8,1,1,1,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,13,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-io-2.0.1-sources\edu\uci\ics\jung\io\graphml\KeyMap.java,edu.uci.ics.jung.io.graphml.KeyMap,addKey/1[edu.uci.ics.jung.io.graphml.Key],false,37,2,3,1,2,7,3,43,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-io-2.0.1-sources\edu\uci\ics\jung\io\graphml\KeyMap.java,edu.uci.ics.jung.io.graphml.KeyMap,clear/0,false,93,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-io-2.0.1-sources\edu\uci\ics\jung\io\graphml\KeyMap.java,edu.uci.ics.jung.io.graphml.KeyMap,entrySet/0,false,102,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\layout\LayoutTransition.java,edu.uci.ics.jung.visualization.layout.LayoutTransition,step/0,false,44,7,5,0,5,3,8,16,0,5,0,8,0,0,1,0,0,4,0,0,6,8,1,0,0,0,16,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\layout\LayoutTransition.java,edu.uci.ics.jung.visualization.layout.LayoutTransition,done/0,false,40,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\layout\LayoutTransition.java,edu.uci.ics.jung.visualization.layout.LayoutTransition,"LayoutTransition/3[edu.uci.ics.jung.visualization.VisualizationViewer<V,E>,edu.uci.ics.jung.algorithms.layout.Layout<V,E>,edu.uci.ics.jung.algorithms.layout.Layout<V,E>]",true,27,9,5,0,5,2,3,11,0,1,3,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-visualization-2.0.1-sources\edu\uci\ics\jung\visualization\annotations\AnnotatingModalGraphMouse.java,edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse$Anonymous1,itemStateChanged/1[java.awt.event.ItemEvent],false,195,1,51,0,51,2,2,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-algorithms-2.0.1-sources\edu\uci\ics\jung\algorithms\layout\BalloonLayout.java,edu.uci.ics.jung.algorithms.layout.BalloonLayout,"BalloonLayout/1[edu.uci.ics.jung.graph.Forest<V,E>]",true,49,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jung-2.0.1\jung-2.0.1\jung-algorithms-2.0.1-sources\edu\uci\ics\jung\algorithms\layout\BalloonLayout.java,edu.uci.ics.jung.algorithms.layout.BalloonLayout,setRootPolar/1[V],false,68,3,2,0,2,1,3,6,0,2,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,12,4,0,false
