file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,class,12,20,8,12,12,1,3,9,55,0.0,0.0,0.0,11,7,11,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,7,46,10,0,0,1,0,1,0,3,0,3,1,1,0,0,158,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\experimental\theories\ParameterSignature.java,org.junit.experimental.theories.ParameterSignature,class,2,7,5,2,20,1,0,18,18,0.5416666,0.0,0.0,12,3,9,3,0,0,9,0,0,0,2,0,0,2,0,0,2,0,3,53,15,3,3,0,0,0,4,6,1,6,2,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\internal\matchers\SubstringMatcher.java,org.junit.internal.matchers.SubstringMatcher,class,3,5,2,3,5,3,1,4,8,0.6,0.0,0.0,5,0,2,0,3,0,5,2,0,0,1,0,0,0,1,0,1,0,0,14,1,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\rules\ExpectedException.java,org.junit.rules.ExpectedException$ExpectedExceptionStatement,innerclass,3,3,0,3,5,2,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,17,1,0,2,1,0,1,0,1,1,1,2,0,0,0,15,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\internal\builders\NullBuilder.java,org.junit.internal.builders.NullBuilder,class,2,3,1,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\junit\framework\TestSuite.java,junit.framework.TestSuite,class,5,12,7,5,48,1,1,45,259,0.7692308,0.0,0.0,26,4,20,6,0,0,20,0,0,0,2,0,0,2,0,0,0,0,17,154,24,5,4,4,4,22,7,14,9,10,3,1,0,0,156,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\ComparisonFailure.java,org.junit.ComparisonFailure$ComparisonCompactor,innerclass,2,2,0,2,20,1,0,13,0,0.59375,NaN,NaN,8,0,1,7,0,0,1,0,0,0,8,3,0,8,0,0,3,0,5,54,6,2,4,0,2,5,10,17,19,15,2,0,0,0,47,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\notification\RunNotifier.java,org.junit.runner.notification.RunNotifier$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\notification\RunNotifier.java,org.junit.runner.notification.RunNotifier$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\internal\requests\SortingRequest.java,org.junit.internal.requests.SortingRequest,class,4,6,2,4,2,2,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,13,1,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0
