file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,getRunner/0,false,109,1,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,aClass/1[java.lang.Class<?>],false,45,2,5,4,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,filterWith/1[org.junit.runner.manipulation.Filter],false,121,3,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,classes/1[java.lang.Class<?>[]],false,83,2,2,0,2,1,2,3,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,"classes/2[org.junit.runner.Computer,java.lang.Class<?>[]]",false,66,4,6,3,3,2,2,10,1,2,2,2,1,1,0,0,1,0,1,0,2,0,1,0,0,0,44,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,runner/1[org.junit.runner.Runner],false,100,3,3,2,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,filterWith/1[org.junit.runner.Description],false,131,3,3,1,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,"errorReport/2[java.lang.Class<?>,java.lang.Throwable]",false,92,2,2,0,2,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,"method/2[java.lang.Class<?>,java.lang.String]",false,34,2,4,1,3,1,3,4,1,1,2,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,31,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,sortWith/1[java.util.Comparator<org.junit.runner.Description>],false,158,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\runner\Request.java,org.junit.runner.Request,classWithoutSuiteMethod/1[java.lang.Class<?>],false,55,2,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\junit-4.1\junit-4.10\org\junit\experimental\theories\ParameterSignature.java,org.junit.experimental.theories.ParameterSignature,"signatures/2[java.lang.Class<?>[],java.lang.annotation.Annotation[][]]",false,25,1,3,2,1,2,1,7,1,2,2,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,10,0,false
