file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\injectors\Reinjection.java,org.picocontainer.injectors.Reinjection$Anonymous1,anonymous,7,7,0,7,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,class,6,10,4,6,31,2,0,20,87,0.8,0.0,0.0,15,0,5,2,8,0,13,0,0,0,1,0,0,1,0,0,0,0,6,104,6,0,6,5,0,4,6,6,3,6,2,0,0,0,71,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\injectors\MethodInjection.java,org.picocontainer.injectors.MethodInjection$MethodInjectionByName,innerclass,8,8,0,8,2,2,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,25,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\PicoException.java,org.picocontainer.PicoException,class,0,9,9,0,4,4,9,0,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\injectors\AbstractInjector.java,org.picocontainer.injectors.AbstractInjector$CyclicDependencyException,innerclass,2,2,0,2,4,6,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,17,2,0,0,0,0,1,0,1,1,1,0,0,0,0,13,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\ReflectionLifecycleStrategy.java,org.picocontainer.lifecycle.ReflectionLifecycleStrategy,class,3,5,2,3,19,2,0,15,34,0.8666667,0.0,0.0,9,0,6,2,1,0,7,0,0,0,5,3,0,5,0,0,5,0,2,80,3,2,4,2,0,5,6,16,1,13,4,0,0,0,106,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\Behavior.java,org.picocontainer.Behavior,interface,3,26,23,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\JavaEE5LifecycleStrategy.java,org.picocontainer.lifecycle.JavaEE5LifecycleStrategy,class,6,8,2,6,13,2,0,9,15,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,43,2,2,0,1,0,1,4,7,1,7,3,0,0,0,62,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\injectors\MethodInjection.java,org.picocontainer.injectors.MethodInjection,class,9,13,4,9,4,4,0,1,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,40,1,0,0,0,0,2,0,2,0,1,0,0,2,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\behaviors\AbstractBehavior.java,org.picocontainer.behaviors.AbstractBehavior,class,13,25,12,13,33,1,1,24,0,0.045454547,0.0,0.0,22,0,22,0,0,0,22,0,2,0,1,0,0,0,1,0,1,0,0,98,15,0,0,0,12,3,0,1,1,1,1,0,0,0,80,1025,0
