file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\injectors\Reinjection.java,org.picocontainer.injectors.Reinjection$Anonymous1,"createComponentAdapter/6[org.picocontainer.ComponentMonitor,org.picocontainer.LifecycleStrategy,java.util.Properties,java.lang.Object,java.lang.Class<T>,org.picocontainer.Parameter[]]",false,31,7,2,0,2,1,1,4,1,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,getDisposeMethodName/0,false,59,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,start/1[java.lang.Object],false,81,3,8,1,7,4,10,14,0,1,1,10,3,3,0,1,1,0,0,2,1,1,2,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,getStopMethodName/0,false,67,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,hasLifecycle/1[java.lang.Class<?>],false,150,1,3,1,2,1,3,3,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,dispose/1[java.lang.Object],false,135,3,8,1,7,4,10,14,0,1,1,10,3,3,0,1,1,0,0,2,1,1,2,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,disposeComponent/1[java.lang.Object],false,115,1,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,startComponent/1[java.lang.Object],false,95,1,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,stopComponent/1[java.lang.Object],false,112,1,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\picocontainer-2.10.2\picocontainer-2.10.2\org\picocontainer\lifecycle\StartableLifecycleStrategy.java,org.picocontainer.lifecycle.StartableLifecycleStrategy,getDisposableInterface/0,false,154,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
