file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\util\gui\propedit\SectionedEditorPane.java,net.suberic.util.gui.propedit.SectionedEditorPane$SEPListEntry,innerclass,0,0,0,0,4,1,0,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,13,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\gui\propedit\JdbcWizardController.java,net.suberic.pooka.gui.propedit.JdbcWizardController,class,7,8,1,7,4,2,0,12,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,1,0,17,0,1,0,1,1,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\util\gui\propedit\PropertyTranslatorFilter.java,net.suberic.util.gui.propedit.PropertyTranslatorFilter,class,4,4,0,4,14,2,0,10,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,42,0,1,7,0,0,10,3,13,3,10,4,0,0,0,50,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\gui\dnd\AttachmentTransferable.java,net.suberic.pooka.gui.dnd.AttachmentTransferable,class,6,8,2,6,15,1,0,11,18,0.72222227,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,0,0,4,0,0,3,57,6,0,3,1,0,6,1,12,1,7,2,0,0,0,38,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\gui\MessageProxy.java,net.suberic.pooka.gui.MessageProxy$ForwardAction,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\util\gui\ConfigurableComboBox.java,net.suberic.util.gui.ConfigurableComboBox,class,5,8,3,5,17,9,1,25,19,0.82857144,0.0,0.0,7,0,6,0,1,0,7,0,0,0,5,0,0,0,2,3,0,0,3,118,4,2,3,2,0,11,6,24,6,16,2,1,1,0,108,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\gui\MessageProxy.java,net.suberic.pooka.gui.MessageProxy$ReplyAction,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\Pooka.java,net.suberic.pooka.Pooka$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\gui\DisplayStyleComboBox.java,net.suberic.pooka.gui.DisplayStyleComboBox,class,4,8,4,4,20,6,0,11,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,35,0,3,5,0,7,5,2,11,0,8,5,0,0,0,52,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\pooka-3.0-080505\pooka-3.0-080505\net\suberic\pooka\gui\MessageProxy.java,net.suberic.pooka.gui.MessageProxy$ImportKeysAction,innerclass,3,3,0,3,6,2,0,5,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,1,0,1,0,1,1,0,0,0,19,1,0
