file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ExceptionCounter.java,proguard.classfile.visitor.ExceptionCounter,class,5,6,1,5,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,class,16,19,3,16,9,5,0,18,0,0.69047624,0.0,0.0,6,1,6,0,0,0,6,0,0,0,7,0,0,7,0,0,5,0,4,88,0,0,1,1,3,3,19,15,7,12,1,1,2,0,92,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,class,4,6,2,4,6,1,0,4,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,24,3,0,1,0,0,0,0,5,0,3,0,0,0,0,40,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\Finisher.java,proguard.io.Finisher,interface,0,6,6,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,class,3,3,0,3,5,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,2,0,0,0,0,1,0,1,1,0,0,0,28,16,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ExceptionHandlerFilter.java,proguard.classfile.visitor.ExceptionHandlerFilter,class,5,6,1,5,4,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0,4,0,4,1,0,0,0,44,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,class,4,28,24,4,17,1,0,1,11,0.69047624,0.0,0.0,6,0,6,0,0,0,6,0,0,0,7,0,7,0,0,0,0,0,0,33,2,0,1,0,0,0,11,7,0,8,1,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\annotation\visitor\AnnotationVisitor.java,proguard.classfile.attribute.annotation.visitor.AnnotationVisitor,interface,4,28,24,4,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\visitor\AllAttributeVisitor.java,proguard.classfile.attribute.visitor.AllAttributeVisitor,class,12,23,11,12,10,2,0,5,8,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,34,0,0,0,0,0,0,0,2,0,2,1,0,0,0,48,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\DirectoryWriter.java,proguard.io.DirectoryWriter,class,4,7,3,4,21,1,0,12,5,0.62857145,0.0,0.0,7,0,5,2,0,0,5,0,0,0,5,0,0,5,0,0,2,0,0,57,4,0,6,0,0,4,0,11,2,8,2,0,0,0,45,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\visitor\AttributeNameFilter.java,proguard.classfile.attribute.visitor.AttributeNameFilter,class,31,35,4,31,68,1,0,37,0,0.4861111,0.0,0.0,36,0,35,1,0,0,35,0,0,0,2,0,0,2,0,0,2,0,0,177,1,0,0,0,0,0,0,2,0,2,1,0,0,0,96,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\io\ProgramClassWriter.java,proguard.classfile.io.ProgramClassWriter$ElementValueBodyWriter,innerclass,11,11,0,11,5,2,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ClassCounter.java,proguard.classfile.visitor.ClassCounter,class,3,4,1,3,3,1,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,1,0
