file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ExceptionCounter.java,proguard.classfile.visitor.ExceptionCounter,"visitExceptionInfo/4[proguard.classfile.Clazz,proguard.classfile.Method,proguard.classfile.attribute.CodeAttribute,proguard.classfile.attribute.ExceptionInfo]",false,49,4,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ExceptionCounter.java,proguard.classfile.visitor.ExceptionCounter,getCount/0,false,41,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,"SplashPanel/3[proguard.gui.splash.Sprite,double,long]",true,72,1,2,1,1,1,1,11,0,0,3,1,0,0,0,0,0,1,0,1,3,2,0,1,0,0,42,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,stop/0,false,109,1,2,1,1,3,1,11,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,start/0,false,92,0,3,3,0,2,2,7,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,8,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,paintComponent/1[java.awt.Graphics],false,135,1,1,0,1,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,"SplashPanel/2[proguard.gui.splash.Sprite,double]",true,57,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\gui\splash\SplashPanel.java,proguard.gui.splash.SplashPanel,main/1[java.lang.String[]],false,203,13,13,0,13,1,12,15,0,5,1,12,1,1,0,0,0,2,3,17,5,4,0,0,0,0,30,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,createDirectory/1[proguard.io.DataEntry],false,57,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,getOutputStream/1[proguard.io.DataEntry],false,66,2,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,"CascadingDataEntryWriter/2[proguard.io.DataEntryWriter,proguard.io.DataEntryWriter]",true,47,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,"getOutputStream/2[proguard.io.DataEntry,proguard.io.Finisher]",false,73,3,2,1,1,2,1,4,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,close/0,false,87,1,1,0,1,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\io\Finisher.java,proguard.io.Finisher,finish/0,false,33,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,SubclassedClassFilter/1[proguard.classfile.visitor.ClassVisitor],true,39,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,visitLibraryClass/1[proguard.classfile.LibraryClass],false,56,2,1,0,1,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,visitProgramClass/1[proguard.classfile.ProgramClass],false,47,2,1,0,1,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ExceptionHandlerFilter.java,proguard.classfile.visitor.ExceptionHandlerFilter,"ExceptionHandlerFilter/3[int,int,proguard.classfile.attribute.visitor.ExceptionInfoVisitor]",true,52,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\visitor\ExceptionHandlerFilter.java,proguard.classfile.visitor.ExceptionHandlerFilter,"visitExceptionInfo/4[proguard.classfile.Clazz,proguard.classfile.Method,proguard.classfile.attribute.CodeAttribute,proguard.classfile.attribute.ExceptionInfo]",false,62,5,1,0,1,3,1,6,0,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,getVisitorInfo/0,false,93,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,compareTo/1[java.lang.Object],false,106,1,0,0,0,11,0,4,1,1,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,"LocalVariableInfo/5[int,int,int,int,int]",true,69,0,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,setVisitorInfo/1[java.lang.Object],false,98,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,LocalVariableInfo/0,true,57,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\LocalVariableInfo.java,proguard.classfile.attribute.LocalVariableInfo,referencedClassAccept/1[proguard.classfile.visitor.ClassVisitor],false,82,2,3,2,1,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\annotation\visitor\AnnotationVisitor.java,proguard.classfile.attribute.annotation.visitor.AnnotationVisitor,"visitAnnotation/4[proguard.classfile.Clazz,proguard.classfile.Method,int,proguard.classfile.attribute.annotation.Annotation]",false,39,3,2,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\annotation\visitor\AnnotationVisitor.java,proguard.classfile.attribute.annotation.visitor.AnnotationVisitor,"visitAnnotation/3[proguard.classfile.Clazz,proguard.classfile.Method,proguard.classfile.attribute.annotation.Annotation]",false,38,3,2,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\annotation\visitor\AnnotationVisitor.java,proguard.classfile.attribute.annotation.visitor.AnnotationVisitor,"visitAnnotation/2[proguard.classfile.Clazz,proguard.classfile.attribute.annotation.Annotation]",false,36,2,3,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\annotation\visitor\AnnotationVisitor.java,proguard.classfile.attribute.annotation.visitor.AnnotationVisitor,"visitAnnotation/3[proguard.classfile.Clazz,proguard.classfile.Field,proguard.classfile.attribute.annotation.Annotation]",false,37,3,2,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\visitor\AllAttributeVisitor.java,proguard.classfile.attribute.visitor.AllAttributeVisitor,"visitProgramMember/2[proguard.classfile.ProgramClass,proguard.classfile.ProgramMember]",false,94,2,1,0,1,2,1,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\visitor\AllAttributeVisitor.java,proguard.classfile.attribute.visitor.AllAttributeVisitor,AllAttributeVisitor/1[proguard.classfile.attribute.visitor.AttributeVisitor],true,51,1,9,9,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\proguard-4.9\proguard-4.9\src\proguard\classfile\attribute\visitor\AllAttributeVisitor.java,proguard.classfile.attribute.visitor.AllAttributeVisitor,"visitLibraryMember/2[proguard.classfile.LibraryClass,proguard.classfile.LibraryMember]",false,105,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
