file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,class,5,17,12,5,77,6,0,117,382,0.9242423,0.0,0.0,33,0,14,18,1,0,15,0,0,0,41,1,3,31,0,7,10,0,31,627,18,2,22,3,4,104,78,133,26,72,3,14,0,0,172,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\net\qsadmin\gui\HeaderPanel.java,org.quickserver.net.qsadmin.gui.HeaderPanel$Anonymous2,anonymous,3,3,0,3,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,1,1,0,1,4,2,1,2,2,0,0,0,12,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\net\server\AuthStatus.java,org.quickserver.net.server.AuthStatus,class,1,11,10,1,3,1,0,0,0,0.375,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,2,2,2,0,0,2,0,0,18,1,0,1,0,0,2,3,5,0,4,1,0,0,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\net\qsadmin\gui\HeaderPanel.java,org.quickserver.net.qsadmin.gui.HeaderPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\util\io\PasswordField.java,org.quickserver.util.io.PasswordField,class,3,6,3,3,14,1,0,16,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,2,0,1,1,0,1,0,0,0,0,7,69,3,1,4,1,4,4,12,17,3,13,4,0,0,0,54,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\net\qsadmin\gui\QSAdmin.java,org.quickserver.net.qsadmin.gui.QSAdmin,class,2,2,0,2,3,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,0,0,0,2,1,0,1,1,0,0,0,9,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\net\server\ClientExtendedEventHandler.java,org.quickserver.net.server.ClientExtendedEventHandler,interface,1,6,5,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\ftpserver\Authenticator.java,ftpserver.Authenticator,class,6,6,0,6,7,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40,4,0,3,0,0,16,0,9,0,5,2,0,0,0,39,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\net\client\BlockingClient.java,org.quickserver.net.client.BlockingClient,class,3,5,2,3,40,1,0,36,67,0.7894737,0.0,0.0,19,1,13,5,1,0,14,0,0,0,12,2,0,12,0,0,0,0,2,170,10,0,18,2,0,15,10,33,7,18,3,0,0,0,56,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\util\ClassUtil.java,org.quickserver.util.ClassUtil,class,2,5,3,2,10,1,0,16,0,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,5,49,6,3,1,1,0,4,3,18,4,16,2,0,0,0,65,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\src\main\org\quickserver\util\pool\QSObjectPoolMaker.java,org.quickserver.util.pool.QSObjectPoolMaker,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
