file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,setResponse/1[java.lang.String],false,417,0,5,5,0,3,5,7,0,1,1,5,0,0,0,0,0,0,4,1,3,1,1,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,addToUserList/1[java.lang.String],false,447,1,4,2,2,1,4,5,0,0,1,4,2,1,0,0,0,0,1,0,1,1,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,getLogDoc/0,false,246,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,buildChatPanel/0,false,499,1,2,1,1,1,5,8,0,0,0,5,1,1,0,0,0,0,0,4,2,0,0,0,0,0,13,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,getUserListModel/0,false,459,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,"ChatWindow/2[chatserver.client.ChatRoom,java.lang.String[]]",true,63,4,8,1,7,1,6,11,0,0,2,6,5,5,0,0,0,0,0,0,3,0,0,0,0,0,25,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,sendTextActionPerformed/1[java.awt.event.ActionEvent],false,178,1,2,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,sendPrivateButtonActionPerformed/1[java.awt.event.ActionEvent],false,182,3,5,1,4,3,7,12,2,0,1,7,1,1,0,2,0,0,4,1,0,1,1,0,0,0,17,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,"checkForSad/2[java.lang.String,javax.swing.text.AttributeSet]",false,715,1,3,1,2,6,9,23,2,3,2,9,2,1,1,3,0,0,2,4,8,1,2,0,0,0,20,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,login/0,false,137,4,7,1,6,4,9,24,3,2,0,9,1,1,0,2,1,0,1,4,2,1,3,0,0,0,10,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,setLogDoc/1[javax.swing.text.DefaultStyledDocument],false,250,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,buildSendMsg/0,false,510,0,2,1,1,1,9,59,0,1,0,9,0,0,0,0,0,0,2,17,13,0,0,3,0,0,19,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,updateUserList/0,false,740,0,2,1,1,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,removeRoom/1[java.lang.String],false,467,1,4,3,1,3,4,7,2,0,1,4,0,0,0,1,0,0,2,1,1,2,1,0,0,0,4,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,buildMenu/0,false,591,0,2,1,1,1,6,90,0,1,0,6,0,0,0,0,0,0,10,0,11,0,0,7,0,0,29,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,buildLogPanel/0,false,570,1,2,1,1,1,5,8,0,0,0,5,1,1,0,0,0,0,0,4,2,0,0,0,0,0,11,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,sendButtonActionPerformed/1[java.awt.event.ActionEvent],false,196,2,4,2,2,2,5,8,1,0,1,5,1,1,0,1,0,0,2,1,0,0,1,0,0,0,12,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quickserver-1.4.7\quickserver-1.4.7\examples\src\main\chatserver\client\ChatWindow.java,chatserver.client.ChatWindow,setUserListModel/1[javax.swing.DefaultListModel],false,463,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
