file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\graph\Connector.java,org.quilt.graph.Connector,class,2,14,12,2,4,1,4,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\graph\Directed.java,org.quilt.graph.Directed$Sizer,innerclass,4,4,0,4,12,1,0,2,47,0.8181818,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,3,42,4,0,0,0,0,3,5,6,1,5,1,0,0,0,23,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test-data\SuperClass.java,SuperClass,class,2,4,2,2,5,1,1,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,2,0,0,0,0,4,1,3,1,1,1,0,0,0,14,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\cl\SortedBlocks.java,org.quilt.cl.SortedBlocks,class,12,17,5,12,17,1,0,19,0,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,84,9,1,3,0,3,7,2,19,2,17,2,0,0,0,147,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test-data\InnerClass.java,InnerClass$Inner,innerclass,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\graph\ComplexConnector.java,org.quilt.graph.ComplexConnector,class,4,14,10,4,18,2,0,7,11,0.6363637,0.0,0.0,11,0,9,2,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,59,5,1,3,0,1,5,4,8,2,5,1,0,0,0,86,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\cl\ClassFactory.java,org.quilt.cl.ClassFactory,class,30,34,4,30,20,1,0,35,66,0.9166667,0.0,0.0,12,1,11,1,0,0,11,0,0,0,2,1,0,2,0,0,0,0,1,163,12,1,3,2,2,30,35,62,6,54,2,0,0,0,255,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test-data\ExceptionThrow.java,ExceptionThrow,class,1,2,1,1,2,1,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,1,1,0,0,0,0,11,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\graph\BinaryConnector.java,org.quilt.graph.BinaryConnector,class,4,10,6,4,20,2,0,8,29,0.6969697,0.0,0.0,11,0,9,2,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,59,5,0,9,0,0,9,1,4,1,3,2,0,0,0,70,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\runner\MockTestRunner.java,org.quilt.runner.MockTestRunner,class,1,2,1,1,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,35,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\textui\MockTestRunner.java,org.quilt.textui.MockTestRunner,class,5,6,1,5,3,2,0,4,3,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,3,0,1,2,1,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\cover\CoverageTypes.java,org.quilt.cover.CoverageTypes,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,7,0,0,0,0,0,5,0,5,0,5,0,0,0,0,25,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\frontend\ant\QuiltTask.java,org.quilt.frontend.ant.QuiltTask,class,17,20,3,17,57,1,0,67,117,0.8190477,0.0,0.0,35,0,33,1,1,0,34,0,0,0,9,0,0,9,0,0,0,0,1,212,3,12,15,0,14,14,2,39,5,20,2,0,0,0,238,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\reports\PlainFormatter.java,org.quilt.reports.PlainFormatter,class,10,11,1,10,20,2,0,28,22,0.6875,0.0,0.0,8,0,7,1,0,0,7,0,0,0,2,0,0,2,0,0,0,0,4,78,1,0,7,2,1,18,5,9,8,6,4,0,0,0,58,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test\org\quilt\graph\TestA2O.java,org.quilt.graph.TestA2O$Hansel,innerclass,4,4,0,4,9,1,0,3,26,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,24,1,0,1,0,0,0,0,2,0,2,1,0,0,0,18,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\graph\Entry.java,org.quilt.graph.Entry,class,6,19,13,6,8,2,0,8,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,31,4,0,2,0,1,4,0,4,1,1,1,0,0,0,36,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\java\org\quilt\frontend\ant\TaskControl.java,org.quilt.frontend.ant.TaskControl,class,18,25,7,18,64,1,0,64,864,0.8834134,0.0,0.0,52,0,43,1,0,8,51,0,0,0,16,0,0,15,1,0,0,0,0,238,27,1,17,0,0,19,1,43,3,25,2,0,0,0,124,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test\org\quilt\cl\TestTransformer.java,org.quilt.cl.TestTransformer,class,9,10,1,9,17,3,0,14,24,0.85714287,0.0,0.0,9,0,8,1,0,0,8,0,0,0,7,0,0,7,0,0,0,0,38,140,1,0,0,6,0,79,56,42,10,23,1,0,0,0,96,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test-data\MyListener.java,MyListener,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\quilt-0.6-a-5\quilt-0.6-a-5\src\test-data\Whimsy2.java,Whimsy2,class,5,5,0,5,2,1,0,3,0,0.6666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,3,3,0,0,0,3,0,0,12,1,0,0,0,1,2,4,4,0,3,0,0,0,0,6,1,0
