file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\ConflictException.java,org.sablecc.sablecc.ConflictException,class,0,2,2,0,2,3,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TEqual.java,org.sablecc.sablecc.node.TEqual,class,4,9,5,4,5,3,0,6,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,3,0,0,0,0,0,0,0,0,20,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\GenerateAlternativeCodeForParser.java,org.sablecc.sablecc.GenerateAlternativeCodeForParser,class,15,17,2,15,77,3,0,31,0,0.4825175,0.0,0.0,13,0,12,0,0,1,13,0,0,0,11,0,0,8,0,3,0,0,3,392,2,7,18,11,14,124,17,105,45,64,5,0,0,0,76,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TProductions.java,org.sablecc.sablecc.node.TProductions,class,4,9,5,4,5,3,0,6,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,3,0,0,0,0,0,0,0,0,20,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\ConstructProdsMap.java,org.sablecc.sablecc.ConstructProdsMap,class,5,6,1,5,1,3,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,8,0,0,0,0,0,1,0,2,1,2,0,0,0,0,14,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TypedLinkedList.java,org.sablecc.sablecc.node.TypedLinkedList,class,2,21,19,2,14,5,0,7,0,0.083333336,0.0,0.0,12,0,12,0,0,0,12,0,0,0,1,0,0,0,0,1,0,0,0,85,5,2,0,0,0,0,2,9,0,6,1,0,1,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\AHelpers.java,org.sablecc.sablecc.node.AHelpers$HelperDefs_Cast,innerclass,3,3,0,3,5,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,0,4,0,0,1,0,1,1,0,0,0,11,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\analysis\Analysis.java,org.sablecc.sablecc.analysis.Analysis,interface,89,178,89,89,91,1,0,0,4095,0.0,0.0,0.0,91,0,0,0,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\GenAlts.java,org.sablecc.sablecc.GenAlts$Anonymous1,anonymous,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\PrettyPrinter.java,org.sablecc.sablecc.PrettyPrinter$Anonymous1,anonymous,3,3,0,3,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,-1,0
