file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\ConflictException.java,org.sablecc.sablecc.ConflictException,getConflictualProductions/0,false,24,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\ConflictException.java,org.sablecc.sablecc.ConflictException,"ConflictException/2[java.util.Set,java.lang.String]",true,18,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TEqual.java,org.sablecc.sablecc.node.TEqual,apply/1[org.sablecc.sablecc.node.Switch],false,27,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TEqual.java,org.sablecc.sablecc.node.TEqual,clone/0,false,22,2,3,0,3,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TEqual.java,org.sablecc.sablecc.node.TEqual,"TEqual/2[int,int]",true,15,1,4,2,2,1,3,5,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TEqual.java,org.sablecc.sablecc.node.TEqual,setText/1[java.lang.String],false,32,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\node\TEqual.java,org.sablecc.sablecc.node.TEqual,TEqual/0,true,10,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\GenerateAlternativeCodeForParser.java,org.sablecc.sablecc.GenerateAlternativeCodeForParser,inASimpleListTerm/1[org.sablecc.sablecc.node.ASimpleListTerm],false,258,5,7,0,7,10,15,47,0,10,1,15,0,0,0,3,1,2,14,3,17,6,4,0,0,0,31,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\GenerateAlternativeCodeForParser.java,org.sablecc.sablecc.GenerateAlternativeCodeForParser,outAListTerm/1[org.sablecc.sablecc.node.AListTerm],false,401,3,5,0,5,6,12,28,0,5,1,12,0,0,1,1,1,2,14,1,6,5,4,0,0,0,24,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sablecc-3.2\sablecc-3.2\src\org\sablecc\sablecc\GenerateAlternativeCodeForParser.java,org.sablecc.sablecc.GenerateAlternativeCodeForParser,inANewTerm/1[org.sablecc.sablecc.node.ANewTerm],false,332,3,3,0,3,2,4,9,0,0,1,4,1,1,0,0,1,0,3,0,0,1,1,0,0,0,16,1,0,false
